combo,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,mean_rmse_cv,std_rmse_cv,sharpe,dir_acc_pct,mae_pct,profit_factor,TP,TN,FP,FN,accuracy,elapsed_s
133,25000,6,0.03,43.0,1.0,0.005196583325963579,0.0008365961468332902,0.027907161148330435,51.118701964133216,99.9895117534782,1.0900111017994296,4170,1816,3965,1759,0.5111870196413322,5.8
130,10000,8,0.01,25.0,1.5,0.005197428576953498,0.0008370928078904636,0.027708738818794692,51.47736976942784,100.03535323394695,1.089343040701116,4170,1858,3923,1759,0.5147736976942784,17.6
73,100000,8,0.03,5.0,1.0,0.005197739609911355,0.0008363014907964399,0.02768425152753748,51.61400512382579,99.97005706874022,1.0892606241490674,4975,1069,4712,954,0.5161400512382579,6.4
134,25000,8,0.03,5.0,0.5,0.005197739609911355,0.0008363014907964399,0.02768425152753748,51.61400512382579,99.97005706874022,1.0892606241490674,4975,1069,4712,954,0.5161400512382579,6.3
111,25000,8,0.03,43.0,1.5,0.0051955812883950625,0.0008368548126148606,0.02758390632752916,51.152860802732704,99.98493529141402,1.0889229597937564,4670,1320,4461,1259,0.511528608027327,12.1
46,2000,6,0.03,20.0,1.0,0.005197274140560523,0.000836457107679956,0.0275374770189565,51.31511528608027,100.18796401079473,1.0887667598774673,5096,913,4868,833,0.5131511528608027,4.6
92,10000,6,0.03,20.0,1.0,0.005197274140560523,0.000836457107679956,0.0275374770189565,51.31511528608027,100.18796401079473,1.0887667598774673,5096,913,4868,833,0.5131511528608027,5.0
84,25000,6,0.03,11.0,1.0,0.00519963227679352,0.0008366753196911289,0.027497501180116447,51.306575576430404,100.19204071689254,1.0886322892969686,4369,1639,4142,1560,0.513065755764304,4.4
18,5000,8,0.005,25.0,1.5,0.00519715470754306,0.0008368374076297022,0.02700676278217133,51.40051238257899,100.00225147797781,1.0869829191474614,4534,1485,4296,1395,0.5140051238257899,28.1
6,5000,8,0.005,3.0,1.0,0.005198607578448114,0.0008372702818953297,0.026814536836094523,51.21263877028181,100.03576105101455,1.0863375402904987,4462,1535,4246,1467,0.5121263877028182,13.1
19,25000,8,0.005,3.0,1.5,0.005198607578448114,0.0008372702818953297,0.026814536836094523,51.21263877028181,100.03576105101455,1.0863375402904987,4462,1535,4246,1467,0.5121263877028182,13.0
