combo,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,mean_rmse_cv,std_rmse_cv,sharpe,dir_acc_pct,mae_pct,profit_factor,TP,TN,FP,FN,accuracy,elapsed_s
25,100000,8,0.1,25.0,1.5,0.0074616819834183975,0.002119693720049442,0.050719082705107284,51.36005202829038,100.14698698414925,1.169495295862783,18824,12765,17142,12774,0.5136005202829038,6.9
26,10000,8,0.1,25.0,1.0,0.0074616819834183975,0.002119693720049442,0.050719082705107284,51.36005202829038,100.14698698414925,1.169495295862783,18824,12765,17142,12774,0.5136005202829038,6.8
48,25000,8,0.03,25.0,0.5,0.007465581483808968,0.002121985590318678,0.0425430613617599,52.259165921469794,100.04802214700024,1.1403133048690304,21300,10842,19065,10298,0.522591659214698,8.4
43,10000,6,0.1,7.0,1.5,0.007463316694127468,0.002129874310891954,0.0420679428600375,52.698154621575476,99.79456339065425,1.138640644999645,19088,13324,16583,12510,0.5269815462157548,3.7
20,100000,6,0.03,7.0,1.5,0.007458372924969004,0.0021295902299586496,0.04094854836722521,52.69165108527763,99.84398627502229,1.1347097292295554,19324,13084,16823,12274,0.5269165108527762,4.7
30,5000,8,0.1,20.0,1.5,0.007470746852460875,0.0021220968556251753,0.040816553606891584,51.83481017803431,100.04478752708312,1.1342471269741579,20005,11876,18031,11593,0.5183481017803431,7.3
23,5000,6,0.05,43.0,1.5,0.00746116636147377,0.002133027911969607,0.040292360450901295,52.89651247866027,99.9657224323664,1.1324118905083518,19679,12855,17052,11919,0.5289651247866027,5.1
47,25000,6,0.03,5.0,1.0,0.007460253977034498,0.002128493473091522,0.03880418407295943,52.70790992602228,100.00261283189226,1.1272182157978003,19768,12650,17257,11830,0.5270790992602228,6.7
35,10000,6,0.1,3.0,0.5,0.007468037656521235,0.002128375204498354,0.03800095595755893,52.86236891309649,99.87007617195836,1.124425107681211,21717,10796,19111,9881,0.5286236891309649,4.2
10,25000,8,0.05,15.0,0.5,0.00747090147576354,0.0021188064786658895,0.03702320788318807,52.83635476790505,99.86861508355936,1.1210346720944147,25228,7269,22638,6370,0.5283635476790505,6.9
45,5000,8,0.05,15.0,1.0,0.00747090147576354,0.0021188064786658895,0.03702320788318807,52.83635476790505,99.86861508355936,1.1210346720944147,25228,7269,22638,6370,0.5283635476790505,6.8
58,5000,6,0.05,11.0,0.5,0.007462681628672474,0.0021255114262742915,0.03663016079631069,52.824973579383794,100.0233127144583,1.1196746871885417,21720,10770,19137,9878,0.5282497357938379,5.5
41,2000,8,0.01,7.0,0.5,0.0074635347876398,0.0021273147162646235,0.03488375577096456,52.33233070482075,100.01361339723552,1.1136522731296759,19654,12533,17374,11944,0.5233233070482075,9.8
50,10000,8,0.01,7.0,1.0,0.0074635347876398,0.0021273147162646235,0.03488375577096456,52.33233070482075,100.01361339723552,1.1136522731296759,19654,12533,17374,11944,0.5233233070482075,10.5
40,10000,8,0.01,11.0,1.0,0.007462656642840022,0.0021270628525862415,0.034068565790828086,52.238029428501754,99.99884534085494,1.1108524423036445,19559,12570,17337,12039,0.5223802942850175,9.9
61,100000,8,0.01,11.0,1.0,0.007462656642840022,0.0021270628525862415,0.034068565790828086,52.238029428501754,99.99884534085494,1.1108524423036445,19559,12570,17337,12039,0.5223802942850175,10.4
44,100000,6,0.03,15.0,0.5,0.0074559316203868615,0.002131456275018379,0.03361981922172474,52.34696366149093,99.86584646707438,1.1093142523708053,19445,12751,17156,12153,0.5234696366149093,5.7
15,2000,6,0.01,15.0,1.0,0.007452014194889478,0.0021338776229731546,0.033183748230050374,52.05918218031055,99.85916686114807,1.1078215907928597,19423,12596,17311,12175,0.5205918218031055,8.2
