iter	Passed	Remaining
403	9383	2229
404	9406	2206
405	9432	2183
406	9452	2159
407	9476	2136
408	9500	2113
409	9524	2090
410	9550	2068
411	9575	2045
412	9598	2021
413	9619	1998
414	9640	1974
415	9664	1951
416	9687	1928
417	9710	1904
418	9733	1881
419	9756	1858
420	9780	1835
421	9804	1812
422	9828	1789
423	9851	1765
424	9874	1742
425	9896	1719
426	9920	1696
427	9946	1673
428	9970	1650
429	9994	1626
430	10019	1603
431	10043	1580
432	10065	1557
433	10086	1533
434	10109	1510
435	10131	1487
436	10152	1463
437	10176	1440
438	10201	1417
439	10223	1394
440	10249	1371
441	10273	1348
442	10295	1324
443	10320	1301
444	10342	1278
445	10364	1254
446	10386	1231
447	10411	1208
448	10436	1185
449	10457	1161
450	10480	1138
451	10503	1115
452	10525	1092
453	10548	1068
454	10574	1045
455	10596	1022
456	10619	999
457	10643	976
458	10669	953
459	10692	929
460	10718	906
461	10741	883
462	10767	860
463	10789	837
464	10810	813
465	10832	790
466	10858	767
467	10882	744
468	10905	720
469	10926	697
470	10949	674
471	10974	651
472	10998	627
473	11021	604
474	11044	581
475	11068	558
476	11091	534
477	11114	511
478	11136	488
479	11160	465
480	11183	441
481	11206	418
482	11230	395
483	11254	372
484	11281	348
485	11306	325
486	11330	302
487	11353	279
488	11374	255
489	11398	232
490	11420	209
491	11442	186
492	11464	162
493	11487	139
494	11512	116
495	11533	93
496	11557	69
497	11578	46
498	11603	23
499	11625	0
499	11889	0
88	0
