iter	Quantile:alpha=0.85
0	2071.643471
1	2032.18388
2	1982.503057
3	1940.410409
4	1897.209338
5	1856.089242
6	1823.075916
7	1763.725251
8	1727.757263
9	1701.551546
10	1663.839972
11	1628.750907
12	1591.528738
13	1559.246077
14	1535.846918
15	1512.440911
16	1488.512095
17	1466.464281
18	1447.049642
19	1415.218908
20	1401.080661
21	1372.540524
22	1348.86351
23	1338.997201
24	1319.409362
25	1301.244451
26	1291.123779
27	1253.930859
28	1223.903273
29	1202.857421
30	1183.166969
31	1148.457897
32	1125.703187
33	1090.999217
34	1055.001063
35	1039.121696
36	1002.852952
37	974.9696214
38	942.8639916
39	909.2146664
40	897.5602577
41	890.1786982
42	865.5315974
43	860.4582474
44	836.6348796
45	809.1604456
46	780.4274613
47	758.0590048
48	738.608646
49	715.2333251
50	695.2113551
51	673.7697963
52	651.9880514
53	634.6077568
54	614.0717446
55	612.0469753
56	592.0269946
57	577.18884
58	557.4290473
59	551.0385629
60	534.1766245
61	518.2424305
62	505.5811528
63	493.4721384
64	479.2392696
65	466.2987665
66	455.1397308
67	444.4222815
68	430.9473252
69	422.0896332
70	411.1005852
71	399.9382958
72	389.8069272
73	379.9434444
74	370.0997128
75	361.8289023
76	352.25717
77	343.4480094
78	335.486246
79	327.7343815
80	319.8989636
81	312.9640957
82	305.6051706
83	299.5462313
84	293.414204
85	287.8451295
86	281.8682764
87	276.961391
88	271.6886583
89	266.2353056
90	261.2523206
91	256.0829992
92	251.9697129
93	249.7280764
94	245.3838188
95	241.1424383
96	237.368576
97	233.6165516
98	230.3688542
99	225.8914838
100	222.9304581
101	219.0087675
102	215.8959537
103	214.3855921
104	211.8016363
105	208.7956179
106	207.9653945
107	204.9518998
108	202.468126
109	199.683375
110	196.8487804
111	194.5655584
112	192.0722392
113	190.3044396
114	188.6860256
115	186.5968785
116	184.4056097
117	182.9201319
118	180.8522731
119	179.2324272
120	178.6720546
121	176.8382557
122	175.832628
123	174.03957
124	172.6822385
125	170.8162873
126	169.2678933
127	167.2542229
128	165.9697002
129	164.6017479
130	163.4043946
131	162.1564634
132	161.6276848
133	160.2986608
134	159.0868467
135	157.7886685
136	156.2485426
137	154.4104541
138	152.9597544
139	152.1865896
140	151.6614286
141	150.4990057
142	149.6129967
143	149.272985
144	148.4838671
145	147.7962053
146	146.92339
147	146.2946119
148	145.4727902
149	144.6300118
150	143.6133703
151	142.9356056
152	141.9660011
153	141.5946834
154	140.9222658
155	140.3223983
156	140.1306009
157	139.0286009
158	138.2633314
159	137.5321548
160	136.7413989
161	135.9124598
162	135.2884726
163	134.3821322
164	133.5670335
165	132.8245044
166	132.2130601
167	131.8599551
168	131.7028816
169	130.6378246
170	129.2166932
171	128.7901928
172	128.1667793
173	127.4930381
174	126.8440319
175	125.8305133
176	125.2291511
177	124.9644139
178	124.0794784
179	123.8991043
180	123.6505519
181	123.210544
182	122.1754575
183	121.8746936
184	121.0450733
185	120.621984
186	119.5360079
187	118.9054426
188	117.7719864
189	117.4740864
190	117.1924273
191	116.6131932
192	115.9923416
193	115.4226273
194	114.9877853
195	114.5880082
196	114.2114865
197	113.8515183
198	113.5315397
199	113.2121237
200	112.3760764
201	112.1546161
202	111.6552682
203	111.4894537
204	110.7805548
205	110.4822017
206	110.0554125
207	109.3896993
208	109.024566
209	108.6140718
210	108.1973722
211	108.030801
212	107.4124766
213	107.3455275
214	107.1919275
215	107.0854346
216	106.8583891
217	106.5188089
218	106.3002734
219	105.8727979
220	105.7436725
221	105.5438962
222	104.9776091
223	104.6236343
224	104.4595403
225	103.9348246
226	103.5453702
227	103.2215672
228	102.8934541
229	102.5373767
230	102.3702242
231	102.2620578
232	101.8133717
233	101.57497
234	101.3860315
235	101.1349638
236	100.9200772
237	100.842042
238	100.4693005
239	100.2929851
240	100.1006576
241	99.85747176
242	99.58195368
243	99.04546664
244	98.94249029
245	98.84632639
246	98.58107229
247	98.48697624
248	98.06579722
249	97.97987339
250	97.87379898
251	97.82391298
252	97.53620418
253	97.21418169
254	97.0773519
255	96.52288573
256	96.21588888
257	96.03009166
258	95.88540511
259	95.68049709
260	95.6121447
261	95.45162353
262	95.31541981
263	94.99507912
264	94.93331361
265	94.89201487
266	94.81177088
267	94.64578304
268	94.55540755
269	94.39149358
270	94.32666898
271	94.10223066
272	93.82238731
273	93.50897812
274	93.40249503
275	93.34068276
276	93.24659825
277	93.08822046
278	92.97497183
279	92.86570959
280	92.74244888
281	92.70775971
282	92.26782836
283	92.14215282
284	92.09573198
285	91.85664341
286	91.72701259
287	91.50081213
288	91.06566921
289	90.87491855
290	90.66614908
291	90.35151519
292	90.05489145
293	89.79155164
294	89.66307442
295	89.51794354
296	89.44036106
297	89.3095822
298	89.14447973
299	89.0473315
300	88.95702715
301	88.83438859
302	88.68666476
303	88.57427938
304	88.17267314
305	88.03274831
306	87.9294114
307	87.7566768
308	87.50497791
309	87.46911858
310	87.38036584
311	87.29457557
312	87.0854458
313	86.90640863
314	86.86827504
315	86.80886445
316	86.66918145
317	86.63269289
318	86.61368033
319	86.58128068
320	86.54464474
321	86.45355967
322	86.44149192
323	86.37209237
324	86.26757416
325	85.99781188
326	85.88970432
327	85.82687393
328	85.7943541
329	85.70088065
330	85.54925862
331	85.46136185
332	85.3427383
333	85.17260194
334	84.82715571
335	84.79540941
336	84.73563617
337	84.66107891
338	84.63487546
339	84.35991427
340	84.22484459
341	84.16335026
342	84.07060634
343	84.02011649
344	83.89208241
345	83.60813866
346	83.52521643
347	83.48143108
348	83.37375177
349	83.31334576
350	83.09639066
351	82.91330235
352	82.78261909
353	82.66065126
354	82.52201175
355	82.237071
356	82.09522507
357	82.00998819
358	81.97564481
359	81.92106348
360	81.86317412
361	81.74214354
362	81.38821313
363	81.3668122
364	81.30403571
365	81.02540154
366	80.82962836
367	80.54325387
368	80.49969092
369	80.35435561
370	80.15137196
371	80.07146214
372	79.9745985
373	79.77204782
374	79.64660267
375	79.38023188
376	79.22969105
377	79.03392409
378	78.98358463
379	78.95330499
380	78.86102079
381	78.78872184
382	78.74115156
383	78.4908696
384	78.28605531
385	78.20874058
386	77.89460346
387	77.55400604
388	77.52272633
389	77.35684626
390	77.30292335
391	77.26390659
392	77.13222342
393	76.99816266
394	76.92033116
395	76.85257309
396	76.64139951
397	76.52490587
398	76.50578304
399	76.4575391
400	76.32436458
401	76.24114275
402	76.17678483
403	76.04961626
404	75.96475452
405	75.93128308
406	75.88490784
407	75.84546173
408	75.72633004
409	75.62472088
410	75.45406439
411	75.38195159
412	75.35982515
413	75.29914935
414	75.25151922
415	75.03603468
416	74.97573382
417	74.95289233
418	74.82806099
419	74.79244284
420	74.4415486
421	74.34761556
422	74.11821323
423	74.01867319
424	73.85774116
425	73.77138807
426	73.73375398
427	73.68127289
428	73.57215361
429	73.51895606
430	73.3912765
431	73.01870749
432	72.95196657
433	72.79402087
434	72.76601325
435	72.73660804
436	72.64811762
437	72.60172542
438	72.58673142
439	72.48928801
440	72.41427593
441	72.39912663
442	72.29479787
443	72.26891487
444	72.18988856
445	72.06287767
446	72.03832871
447	71.96184778
448	71.92840551
449	71.87835428
450	71.82443683
451	71.71281035
452	71.46986925
453	71.32553847
454	71.24221062
455	71.00271171
456	70.98332783
457	70.92020247
458	70.82564558
459	70.62261433
460	70.59530992
461	70.40407929
462	70.38648119
463	70.2775281
464	70.13029716
465	69.91746097
466	69.59998663
467	69.53685577
468	69.48210216
469	69.42111446
470	69.3471997
471	69.21424799
472	69.12853756
473	69.00626388
474	68.86458189
475	68.75818963
476	68.73288984
477	68.63840408
478	68.41343826
479	68.4002537
480	68.15336997
481	68.1149042
482	67.96176522
483	67.86874142
484	67.8377484
485	67.7906439
486	67.70660023
487	67.65978941
488	67.53420031
489	67.52785251
490	67.48045267
491	67.37529941
492	67.31875292
493	67.23598105
494	67.05395433
495	66.90061862
496	66.74247327
497	66.61365279
498	66.58583127
499	66.55400606
