start_ms,open,high,low,close,volume,turnover,timestamp
1761980400000,109948.1,110209.2,109930.0,110026.3,649.439,71474019.2705,2025-11-01 07:00:00+00:00
1761984000000,110026.3,110232.0,110026.3,110191.4,593.638,65386196.4806,2025-11-01 08:00:00+00:00
1761987600000,110191.4,110214.0,109911.4,109949.8,818.887,90104362.2109,2025-11-01 09:00:00+00:00
1761991200000,109949.8,110135.0,109778.5,110120.0,827.397,90982050.8991,2025-11-01 10:00:00+00:00
1761994800000,110120.0,110188.8,109938.2,110105.2,573.464,63129146.2642,2025-11-01 11:00:00+00:00
1761998400000,110105.2,110164.4,109951.5,109967.9,420.349,46259393.9143,2025-11-01 12:00:00+00:00
1762002000000,109967.9,110021.9,109661.7,109900.0,1055.789,115978958.3247,2025-11-01 13:00:00+00:00
1762005600000,109900.0,109950.0,109669.3,109883.6,915.782,100554067.6241,2025-11-01 14:00:00+00:00
1762009200000,109883.6,110327.3,109851.9,110254.1,1776.514,195671341.9036,2025-11-01 15:00:00+00:00
1762012800000,110254.1,110495.1,110143.4,110426.3,1159.9,127953450.9395,2025-11-01 16:00:00+00:00
1762016400000,110426.3,110450.0,110121.6,110150.4,891.233,98253431.2339,2025-11-01 17:00:00+00:00
1762020000000,110150.4,110321.3,110141.2,110279.7,303.809,33486818.5244,2025-11-01 18:00:00+00:00
1762023600000,110279.7,110279.7,110158.0,110240.8,242.775,26754977.0953,2025-11-01 19:00:00+00:00
1762027200000,110240.8,110465.0,110240.8,110359.6,655.164,72320337.5425,2025-11-01 20:00:00+00:00
1762030800000,110359.6,110388.6,109763.0,109818.8,1730.272,190393141.894,2025-11-01 21:00:00+00:00
1762034400000,109818.8,110049.6,109818.7,110041.4,554.324,60940551.1198,2025-11-01 22:00:00+00:00
1762038000000,110041.4,110099.0,109912.8,110046.0,401.474,44162127.3297,2025-11-01 23:00:00+00:00
1762041600000,110046.0,110086.3,109840.3,109917.6,407.74,44840236.4524,2025-11-02 00:00:00+00:00
1762045200000,109917.6,110045.0,109860.0,109909.4,327.405,35999376.4416,2025-11-02 01:00:00+00:00
1762048800000,109909.4,110215.7,109821.8,109959.9,702.438,77256465.9905,2025-11-02 02:00:00+00:00
1762052400000,109959.9,110038.5,109900.0,110000.0,367.829,40446055.7699,2025-11-02 03:00:00+00:00
1762056000000,110000.0,110750.9,109965.6,110624.4,1634.6,180468074.1134,2025-11-02 04:00:00+00:00
1762059600000,110624.4,110659.8,110228.2,110459.0,1283.718,141762426.9057,2025-11-02 05:00:00+00:00
1762063200000,110459.0,110683.0,110240.0,110611.9,796.76,88024510.8541,2025-11-02 06:00:00+00:00
1762066800000,110611.9,110989.5,110379.1,110847.1,1256.074,139088158.8123,2025-11-02 07:00:00+00:00
1762070400000,110847.1,110962.6,110657.1,110800.0,1020.977,113107654.9814,2025-11-02 08:00:00+00:00
1762074000000,110800.0,111017.7,110472.4,110656.6,1695.522,187720946.8388,2025-11-02 09:00:00+00:00
1762077600000,110656.6,110830.0,110301.4,110436.1,1543.588,170561046.7801,2025-11-02 10:00:00+00:00
1762081200000,110436.1,111180.0,110421.1,111146.2,1699.385,188396471.2541,2025-11-02 11:00:00+00:00
1762084800000,111146.2,111200.0,110637.1,110690.9,1968.547,218425683.8418,2025-11-02 12:00:00+00:00
1762088400000,110690.9,110725.3,110117.3,110510.2,2606.281,287653370.366,2025-11-02 13:00:00+00:00
1762092000000,110510.2,110610.6,110125.7,110365.0,1673.96,184723013.435,2025-11-02 14:00:00+00:00
1762095600000,110365.0,110522.7,110008.2,110046.1,1394.999,153841555.4578,2025-11-02 15:00:00+00:00
1762099200000,110046.1,110098.6,109603.2,110061.0,2947.628,323838102.9483,2025-11-02 16:00:00+00:00
1762102800000,110061.0,110227.9,109964.7,110134.9,761.89,83881810.4547,2025-11-02 17:00:00+00:00
1762106400000,110134.9,110283.5,110110.8,110283.5,437.189,48181116.234,2025-11-02 18:00:00+00:00
1762110000000,110283.5,110283.5,109899.8,110120.1,645.737,71073071.2704,2025-11-02 19:00:00+00:00
1762113600000,110120.1,110160.7,109812.1,110044.8,519.456,57123726.4539,2025-11-02 20:00:00+00:00
1762117200000,110044.8,110090.7,109910.1,109939.6,370.493,40752641.8979,2025-11-02 21:00:00+00:00
1762120800000,109939.6,109978.1,109433.0,109867.7,1574.013,172578898.9648,2025-11-02 22:00:00+00:00
1762124400000,109867.7,110699.8,109867.7,110493.5,2343.907,258582997.108,2025-11-02 23:00:00+00:00
1762128000000,110493.5,110721.3,109687.7,109687.7,1685.89,185885875.6746,2025-11-03 00:00:00+00:00
1762131600000,109687.7,109833.0,109289.5,109606.8,2177.993,238663932.4194,2025-11-03 01:00:00+00:00
1762135200000,109606.8,109714.9,108600.0,108982.0,4141.692,451640326.5063,2025-11-03 02:00:00+00:00
1762138800000,108982.0,109100.0,107835.7,107876.6,5448.815,589855504.6955,2025-11-03 03:00:00+00:00
1762142400000,107876.6,107945.2,107410.3,107830.1,6070.14,653781877.5145,2025-11-03 04:00:00+00:00
1762146000000,107830.1,108039.3,107318.2,107547.5,2972.664,320037076.9961,2025-11-03 05:00:00+00:00
1762149600000,107547.5,107664.5,106949.3,107434.3,4080.857,437997122.1209,2025-11-03 06:00:00+00:00
1762153200000,107434.3,107777.0,107209.0,107413.1,2399.414,257916017.4227,2025-11-03 07:00:00+00:00
1762156800000,107413.1,107663.6,106860.5,107550.1,4207.966,451402519.2971,2025-11-03 08:00:00+00:00
1762160400000,107550.1,107877.7,107033.3,107162.3,2490.782,267647882.2064,2025-11-03 09:00:00+00:00
1762164000000,107162.3,107585.0,106700.5,106932.1,3825.892,410074020.9743,2025-11-03 10:00:00+00:00
1762167600000,106932.1,107871.8,106923.5,107743.9,2896.362,311161289.6233,2025-11-03 11:00:00+00:00
1762171200000,107743.9,108214.1,107652.2,107710.5,3451.537,372693858.3227,2025-11-03 12:00:00+00:00
1762174800000,107710.5,108023.0,107518.9,107857.5,2363.948,254719424.2287,2025-11-03 13:00:00+00:00
1762178400000,107857.5,108292.0,107313.8,108010.6,3932.987,423742824.7626,2025-11-03 14:00:00+00:00
1762182000000,108010.6,108111.3,105415.2,105701.0,17927.079,1904379647.26,2025-11-03 15:00:00+00:00
1762185600000,105701.0,106752.1,105178.2,106635.2,9809.604,1039653682.5927,2025-11-03 16:00:00+00:00
1762189200000,106635.2,107734.6,106477.6,107426.6,5370.411,575854298.7951,2025-11-03 17:00:00+00:00
1762192800000,107426.6,107562.7,106750.0,106905.5,2863.656,306811269.9049,2025-11-03 18:00:00+00:00
1762196400000,106905.5,107340.0,106375.6,107040.2,2434.223,260208822.915,2025-11-03 19:00:00+00:00
1762200000000,107040.2,107133.8,106255.0,106613.0,2737.748,291832840.3608,2025-11-03 20:00:00+00:00
1762203600000,106613.0,107060.2,106000.0,106840.0,3282.774,350064734.2865,2025-11-03 21:00:00+00:00
1762207200000,106840.0,106840.0,105750.0,106444.0,2120.314,225336911.9919,2025-11-03 22:00:00+00:00
1762210800000,106444.0,106700.0,105984.0,106536.4,1654.839,176105726.8485,2025-11-03 23:00:00+00:00
1762214400000,106536.4,106770.8,105783.1,106416.5,3239.644,344226616.0907,2025-11-04 00:00:00+00:00
1762218000000,106416.5,107266.7,106215.9,106986.3,2923.843,312591161.2563,2025-11-04 01:00:00+00:00
1762221600000,106986.3,107189.5,106400.0,106413.3,1972.126,210565977.4645,2025-11-04 02:00:00+00:00
1762225200000,106413.3,107183.9,106139.8,107093.0,2058.459,219794854.9553,2025-11-04 03:00:00+00:00
1762228800000,107093.0,107254.7,106648.5,106695.3,1370.145,146537625.2168,2025-11-04 04:00:00+00:00
1762232400000,106695.3,106695.4,104128.0,104153.1,9737.51,1024354871.5388,2025-11-04 05:00:00+00:00
1762236000000,104153.1,105185.0,104120.0,104700.8,5555.78,581319001.0426,2025-11-04 06:00:00+00:00
1762239600000,104700.8,104896.0,104252.4,104431.3,3264.675,341193795.2393,2025-11-04 07:00:00+00:00
1762243200000,104431.3,104598.9,103700.0,104011.2,5418.753,564158629.3602,2025-11-04 08:00:00+00:00
1762246800000,104011.2,104099.5,103589.2,103815.4,2933.23,304538675.6505,2025-11-04 09:00:00+00:00
1762250400000,103815.4,104050.0,103550.1,103775.5,2183.942,226548623.5994,2025-11-04 10:00:00+00:00
1762254000000,103775.5,104657.2,103726.7,104531.4,2845.209,296779463.7866,2025-11-04 11:00:00+00:00
