timestamp,open,high,low,close,volume,turnover
2026-02-19 17:36:00+00:00,1927.6,1929.99,1925.55,1925.96,470.17,906702.5512
2026-02-19 17:37:00+00:00,1925.96,1927.28,1924.0,1924.52,836.11,1609781.2688
2026-02-19 17:38:00+00:00,1924.52,1924.6,1922.32,1924.6,1539.85,2961071.8305
2026-02-19 17:39:00+00:00,1924.6,1924.65,1922.49,1923.4,686.16,1319728.7759
2026-02-19 17:40:00+00:00,1923.4,1926.68,1923.4,1925.14,1536.5,2958175.123
2026-02-19 17:41:00+00:00,1925.14,1925.7,1924.51,1924.6,435.27,838035.0865
2026-02-19 17:42:00+00:00,1924.6,1930.0,1924.6,1929.37,2233.39,4305993.8834
2026-02-19 17:43:00+00:00,1929.37,1930.13,1927.37,1927.75,820.25,1582344.0317
2026-02-19 17:44:00+00:00,1927.75,1928.53,1926.53,1926.53,342.6,660408.1516
2026-02-19 17:45:00+00:00,1926.53,1928.64,1926.53,1927.86,346.4,667745.1004
2026-02-19 17:46:00+00:00,1927.86,1928.59,1926.2,1926.41,376.42,725358.4361
2026-02-19 17:47:00+00:00,1926.41,1928.4,1925.03,1925.86,974.59,1877076.4859
2026-02-19 17:48:00+00:00,1925.86,1925.99,1923.24,1924.11,1038.46,1998394.0977
2026-02-19 17:49:00+00:00,1924.11,1924.11,1918.52,1919.17,1860.97,3573058.734
2026-02-19 17:50:00+00:00,1919.17,1921.16,1917.8,1918.22,1343.8,2579552.2647
2026-02-19 17:51:00+00:00,1918.22,1920.04,1916.65,1916.65,889.53,1706242.4335
2026-02-19 17:52:00+00:00,1916.65,1918.55,1915.56,1915.72,862.4,1653322.5887
2026-02-19 17:53:00+00:00,1915.72,1916.7,1912.1,1914.42,4490.63,8597480.3203
2026-02-19 17:54:00+00:00,1914.42,1914.42,1909.18,1912.45,4336.24,8286708.1379
2026-02-19 17:55:00+00:00,1912.45,1916.67,1912.31,1916.41,2228.3,4266887.9307
2026-02-19 17:56:00+00:00,1916.41,1917.84,1916.01,1916.01,743.53,1425348.0801
2026-02-19 17:57:00+00:00,1916.01,1918.53,1915.37,1917.87,1198.5,2297622.9036
2026-02-19 17:58:00+00:00,1917.87,1918.95,1916.19,1917.41,375.7,720358.756
2026-02-19 17:59:00+00:00,1917.41,1920.11,1917.41,1919.4,503.43,966041.5873
2026-02-19 18:00:00+00:00,1919.4,1920.28,1917.95,1918.63,1013.98,1945621.9882
2026-02-19 18:01:00+00:00,1918.63,1920.2,1916.68,1917.59,792.32,1519712.1227
2026-02-19 18:02:00+00:00,1917.59,1917.6,1915.16,1916.14,1343.55,2574124.1747
2026-02-19 18:03:00+00:00,1916.14,1921.74,1916.14,1920.04,718.67,1379233.555
2026-02-19 18:04:00+00:00,1920.04,1920.85,1919.1,1920.04,552.19,1060177.5447
2026-02-19 18:05:00+00:00,1920.04,1920.8,1919.18,1920.8,915.92,1758480.7685
2026-02-19 18:06:00+00:00,1920.8,1922.19,1920.06,1921.82,346.78,666232.0627
2026-02-19 18:07:00+00:00,1921.82,1925.53,1921.63,1924.61,1039.86,2000572.4451
2026-02-19 18:08:00+00:00,1924.61,1924.63,1922.8,1923.4,519.24,998899.6999
