timestamp,open,high,low,close,volume,turnover
2025-07-01 06:00:00+00:00,2459.71,2461.6,2455.0,2458.19,31547.5,77545296.9862
2025-07-01 07:00:00+00:00,2458.19,2467.24,2443.18,2463.79,86782.71,213210828.2541
2025-07-01 08:00:00+00:00,2463.79,2463.79,2449.65,2452.0,46662.6,114604235.7656
2025-07-01 09:00:00+00:00,2452.0,2457.74,2448.65,2455.82,39233.43,96256538.5449
2025-07-01 10:00:00+00:00,2455.82,2460.84,2446.13,2454.84,43864.78,107650089.4482
2025-07-01 11:00:00+00:00,2454.84,2458.6,2440.44,2448.19,71785.24,175725408.327
2025-07-01 12:00:00+00:00,2448.19,2452.45,2432.94,2436.14,88290.6,215478438.8589
2025-07-01 13:00:00+00:00,2436.14,2446.22,2420.26,2441.9,115159.17,280607690.0246
2025-07-01 14:00:00+00:00,2441.9,2455.53,2405.04,2418.09,244553.37,593783693.3034
2025-07-01 15:00:00+00:00,2418.09,2430.85,2414.09,2422.42,77367.05,187374333.1679
2025-07-01 16:00:00+00:00,2422.42,2430.24,2418.04,2423.09,40407.04,97988637.8634
2025-07-01 17:00:00+00:00,2423.09,2433.35,2416.43,2431.08,43608.96,105777095.0154
2025-07-01 18:00:00+00:00,2431.08,2432.28,2395.79,2408.74,82902.12,200009794.773
2025-07-01 19:00:00+00:00,2408.74,2421.22,2400.09,2401.5,81404.87,196307066.6907
2025-07-01 20:00:00+00:00,2401.5,2417.55,2391.73,2413.71,91714.32,220553212.682
2025-07-01 21:00:00+00:00,2413.71,2417.27,2402.64,2405.7,40812.54,98260296.8701
2025-07-01 22:00:00+00:00,2405.7,2411.92,2397.77,2399.54,38664.42,92967366.6343
2025-07-01 23:00:00+00:00,2399.54,2405.04,2383.52,2403.47,69579.87,166465799.2565
2025-07-02 00:00:00+00:00,2403.47,2408.75,2396.18,2397.13,37875.07,91006586.3498
2025-07-02 01:00:00+00:00,2397.13,2410.81,2371.42,2410.11,105734.37,252781977.8751
2025-07-02 02:00:00+00:00,2410.11,2418.37,2405.82,2416.91,37753.52,91096530.2842
2025-07-02 03:00:00+00:00,2416.91,2431.31,2414.56,2429.26,59727.4,144798107.4203
2025-07-02 04:00:00+00:00,2429.26,2440.58,2424.18,2438.41,46497.36,113111283.3075
2025-07-02 05:00:00+00:00,2438.41,2446.78,2433.05,2443.02,62983.31,153685838.4995
2025-07-02 06:00:00+00:00,2443.02,2452.57,2437.23,2450.63,55742.86,136347175.8218
2025-07-02 07:00:00+00:00,2450.63,2453.55,2440.42,2445.87,45974.99,112463828.8976
2025-07-02 08:00:00+00:00,2445.87,2454.97,2443.1,2448.02,63640.04,155859694.4403
2025-07-02 09:00:00+00:00,2448.02,2452.31,2444.62,2447.67,34738.61,85068676.3835
2025-07-02 10:00:00+00:00,2447.67,2453.29,2442.42,2452.5,26341.38,64484251.0962
2025-07-02 11:00:00+00:00,2452.5,2460.07,2440.16,2444.66,73346.72,179768162.095
2025-07-02 12:00:00+00:00,2444.66,2446.9,2430.57,2437.68,69572.07,169616924.7068
2025-07-02 13:00:00+00:00,2437.68,2457.6,2435.58,2448.1,97543.78,238718810.7478
2025-07-02 14:00:00+00:00,2448.1,2472.0,2447.01,2468.7,115254.25,283742045.0708
2025-07-02 15:00:00+00:00,2468.7,2502.63,2467.23,2497.73,239405.43,596164405.1669
2025-07-02 16:00:00+00:00,2497.73,2563.85,2493.73,2560.21,398189.08,1009742294.6941
2025-07-02 17:00:00+00:00,2560.21,2589.24,2550.68,2566.28,303761.33,780395050.5116
2025-07-02 18:00:00+00:00,2566.28,2583.2,2562.42,2581.83,99404.78,255715225.655
2025-07-02 19:00:00+00:00,2581.83,2607.05,2566.59,2603.64,149481.7,386988763.5141
2025-07-02 20:00:00+00:00,2603.64,2604.29,2585.19,2589.29,106604.37,276626545.3517
2025-07-02 21:00:00+00:00,2589.29,2599.74,2582.26,2595.89,62605.53,162168418.2392
2025-07-02 22:00:00+00:00,2595.89,2619.11,2590.98,2593.87,122895.95,319748996.8492
2025-07-02 23:00:00+00:00,2593.87,2594.99,2568.28,2569.72,79824.18,206047509.8749
2025-07-03 00:00:00+00:00,2569.72,2579.17,2562.15,2572.89,67632.16,173910103.8014
2025-07-03 01:00:00+00:00,2572.89,2587.24,2564.25,2579.26,53995.37,139180691.4339
2025-07-03 02:00:00+00:00,2579.26,2579.89,2555.03,2566.5,61596.14,157899769.9195
2025-07-03 03:00:00+00:00,2566.5,2571.35,2559.03,2560.22,32631.73,83704802.6631
2025-07-03 04:00:00+00:00,2560.22,2571.86,2557.99,2565.51,33783.34,86701639.1742
2025-07-03 05:00:00+00:00,2565.51,2601.65,2564.5,2588.76,108986.88,281690876.0106
2025-07-03 06:00:00+00:00,2588.76,2602.87,2584.5,2598.38,66768.45,173360487.4093
2025-07-03 07:00:00+00:00,2598.38,2605.15,2588.54,2599.41,61984.14,160936207.4324
2025-07-03 08:00:00+00:00,2599.41,2607.38,2586.21,2587.0,69228.96,179763939.5845
2025-07-03 09:00:00+00:00,2587.0,2615.98,2585.5,2598.29,132186.16,343960167.5927
2025-07-03 10:00:00+00:00,2598.29,2601.17,2582.35,2597.46,72235.99,187230758.2658
2025-07-03 11:00:00+00:00,2597.46,2598.13,2579.47,2596.42,56847.39,147234858.8545
2025-07-03 12:00:00+00:00,2596.42,2614.23,2563.55,2587.8,210117.04,542929959.2371
2025-07-03 13:00:00+00:00,2587.8,2635.54,2585.01,2623.81,254250.69,665120504.4819
2025-07-03 14:00:00+00:00,2623.81,2631.11,2581.99,2593.82,182797.71,476385824.5386
2025-07-03 15:00:00+00:00,2593.82,2596.81,2563.21,2569.06,154375.76,397794506.9405
2025-07-03 16:00:00+00:00,2569.06,2580.59,2563.59,2570.51,110103.6,283234951.8275
2025-07-03 17:00:00+00:00,2570.51,2579.22,2570.3,2576.12,32705.85,84197148.6328
2025-07-03 18:00:00+00:00,2576.12,2587.16,2572.65,2584.5,56029.07,144608751.0502
2025-07-03 19:00:00+00:00,2584.5,2591.78,2580.81,2584.85,33608.97,86933138.1351
2025-07-03 20:00:00+00:00,2584.85,2597.94,2584.36,2597.94,26870.18,69662334.4812
2025-07-03 21:00:00+00:00,2597.94,2602.74,2588.4,2594.25,38598.98,100173089.97
2025-07-03 22:00:00+00:00,2594.25,2600.69,2588.84,2592.64,21180.31,54931025.4578
2025-07-03 23:00:00+00:00,2592.64,2597.0,2584.0,2590.21,28273.31,73185890.7967
2025-07-04 00:00:00+00:00,2590.21,2597.64,2579.3,2587.56,52186.03,135153245.7164
2025-07-04 01:00:00+00:00,2587.56,2602.23,2586.35,2588.77,33009.41,85635046.4474
2025-07-04 02:00:00+00:00,2588.77,2591.0,2570.12,2573.97,62140.32,160243920.7972
2025-07-04 03:00:00+00:00,2573.97,2584.94,2570.27,2576.7,25234.02,65080210.6212
2025-07-04 04:00:00+00:00,2576.7,2583.62,2567.73,2569.06,36440.82,93794760.6444
2025-07-04 05:00:00+00:00,2569.06,2580.41,2561.88,2567.51,41549.83,106827012.6697
2025-07-04 06:00:00+00:00,2567.51,2568.96,2546.13,2557.34,97807.9,249967833.7155
2025-07-04 07:00:00+00:00,2557.34,2564.04,2528.39,2533.81,121682.77,309324086.1578
2025-07-04 08:00:00+00:00,2533.81,2552.55,2525.48,2545.87,134383.33,341404759.8381
2025-07-04 09:00:00+00:00,2545.87,2557.4,2545.0,2550.55,38524.17,98309926.3558
2025-07-04 10:00:00+00:00,2550.55,2554.93,2543.58,2547.11,30363.42,77409214.0585
2025-07-04 11:00:00+00:00,2547.11,2555.83,2546.24,2547.84,27490.3,70117838.4969
2025-07-04 12:00:00+00:00,2547.84,2552.47,2541.63,2546.88,29164.35,74286193.4191
