start_ms,open,high,low,close,volume,turnover,timestamp
1761980400000,3856.55,3867.04,3854.15,3859.42,16425.36,63435794.9166,2025-11-01 07:00:00+00:00
1761984000000,3859.42,3881.5,3858.72,3880.34,17671.74,68365061.734,2025-11-01 08:00:00+00:00
1761987600000,3880.34,3881.34,3869.88,3873.93,16778.28,65021709.329,2025-11-01 09:00:00+00:00
1761991200000,3873.93,3880.53,3870.06,3875.29,12016.24,46548342.5074,2025-11-01 10:00:00+00:00
1761994800000,3875.29,3880.2,3866.07,3876.35,13127.03,50847675.1125,2025-11-01 11:00:00+00:00
1761998400000,3876.35,3880.16,3872.95,3874.82,9141.1,35437720.6978,2025-11-01 12:00:00+00:00
1762002000000,3874.82,3877.87,3856.0,3868.09,18188.72,70300975.8197,2025-11-01 13:00:00+00:00
1762005600000,3868.09,3873.91,3856.11,3871.04,19242.95,74358655.5422,2025-11-01 14:00:00+00:00
1762009200000,3871.04,3901.47,3869.07,3893.19,45027.03,175069221.8912,2025-11-01 15:00:00+00:00
1762012800000,3893.19,3908.0,3883.01,3890.01,32100.25,124997694.976,2025-11-01 16:00:00+00:00
1762016400000,3890.01,3892.34,3860.43,3864.05,33728.68,130656200.9709,2025-11-01 17:00:00+00:00
1762020000000,3864.05,3879.0,3862.0,3878.11,20039.69,77548325.9204,2025-11-01 18:00:00+00:00
1762023600000,3878.11,3878.95,3869.01,3877.99,5568.23,21576116.777,2025-11-01 19:00:00+00:00
1762027200000,3877.99,3891.08,3876.34,3879.68,19725.95,76615286.9847,2025-11-01 20:00:00+00:00
1762030800000,3879.68,3883.03,3865.16,3865.35,9598.81,37192459.3039,2025-11-01 21:00:00+00:00
1762034400000,3865.35,3874.82,3860.99,3873.05,23872.27,92309225.0206,2025-11-01 22:00:00+00:00
1762038000000,3873.05,3875.51,3866.36,3871.8,7295.73,28243816.1057,2025-11-01 23:00:00+00:00
1762041600000,3871.8,3872.46,3860.1,3864.4,10212.34,39476805.1728,2025-11-02 00:00:00+00:00
1762045200000,3864.4,3875.54,3860.1,3870.29,8041.59,31108878.6773,2025-11-02 01:00:00+00:00
1762048800000,3870.29,3885.87,3866.4,3878.4,11597.95,44968056.9837,2025-11-02 02:00:00+00:00
1762052400000,3878.4,3883.5,3875.28,3878.78,7336.76,28457938.0297,2025-11-02 03:00:00+00:00
1762056000000,3878.78,3912.29,3873.67,3906.97,34357.13,133863546.251,2025-11-02 04:00:00+00:00
1762059600000,3906.97,3907.84,3892.59,3900.9,21761.6,84871801.8589,2025-11-02 05:00:00+00:00
1762063200000,3900.9,3906.57,3889.0,3900.23,14388.97,56088665.598,2025-11-02 06:00:00+00:00
1762066800000,3900.23,3917.01,3889.86,3904.34,27990.33,109201342.7469,2025-11-02 07:00:00+00:00
1762070400000,3904.34,3909.4,3890.0,3892.47,26058.47,101579117.4151,2025-11-02 08:00:00+00:00
1762074000000,3892.47,3901.35,3865.0,3870.13,48704.07,188928754.9927,2025-11-02 09:00:00+00:00
1762077600000,3870.13,3873.7,3843.64,3861.22,68558.07,264530163.3972,2025-11-02 10:00:00+00:00
1762081200000,3861.22,3895.4,3859.72,3888.13,43296.78,167976007.4529,2025-11-02 11:00:00+00:00
1762084800000,3888.13,3892.77,3867.74,3875.45,34433.46,133581381.2545,2025-11-02 12:00:00+00:00
1762088400000,3875.45,3875.5,3851.62,3865.72,36750.32,141957948.1883,2025-11-02 13:00:00+00:00
1762092000000,3865.72,3871.6,3836.45,3851.03,43601.55,167847775.3817,2025-11-02 14:00:00+00:00
1762095600000,3851.03,3869.79,3844.0,3851.15,27871.35,107511135.3779,2025-11-02 15:00:00+00:00
1762099200000,3851.15,3863.8,3837.07,3862.32,32150.26,123782545.4493,2025-11-02 16:00:00+00:00
1762102800000,3862.32,3862.63,3846.85,3857.44,9419.8,36315344.9049,2025-11-02 17:00:00+00:00
1762106400000,3857.44,3865.37,3853.01,3862.52,10244.25,39546856.0395,2025-11-02 18:00:00+00:00
