week,start_ts,end_ts,raw_points,clean_points
1,2025-05-22 04:00:00+00:00,2025-05-29 03:00:00+00:00,168,168
2,2024-08-09 06:00:00+00:00,2024-08-16 05:00:00+00:00,168,167
3,2024-09-14 16:00:00+00:00,2024-09-21 15:00:00+00:00,168,168
4,2022-06-11 11:00:00+00:00,2022-06-18 10:00:00+00:00,168,168
5,2025-10-18 08:00:00+00:00,2025-10-25 07:00:00+00:00,168,167
6,2024-01-04 17:00:00+00:00,2024-01-11 16:00:00+00:00,168,167
7,2024-01-12 04:00:00+00:00,2024-01-19 03:00:00+00:00,168,168
8,2024-04-13 14:00:00+00:00,2024-04-20 13:00:00+00:00,168,168
9,2025-12-25 09:00:00+00:00,2026-01-01 08:00:00+00:00,168,165
10,2023-05-14 11:00:00+00:00,2023-05-21 10:00:00+00:00,168,167
