retrain_hours,timestamp,action,side,signal_type,price,qty,asset_qty,cash_flow,invested_cash_gross,entry_fee_cash,exit_fee_cash,gross_sale_value,net_sale_value,realized_pnl,position_qty_after,avg_entry_after,free_cash_after,equity_after,reason
168,2026-02-07 10:20:00+00:00,open_short,short,trend_short,67949.2,0.003677011649879616,0.003677011649879616,-250.0,250.0,0.15,,,,,0.003677011649879616,67949.2,750.0,999.85009,enter short: stable negative 10m/30m/60m bias
168,2026-02-07 11:38:00+00:00,close_short,short,trend_short,67826.7,0.003677011649879616,0.003677011649879616,250.30079418746652,250.0,0.15,0.14963973964373384,249.39956607288974,250.30079418746652,0.15079418746651913,0.0,,1000.3007941874665,1000.3007941874665,target_exit_price
168,2026-02-07 12:00:00+00:00,open_short,short,trend_short,68177.2,0.003665817214959525,0.003665817214959525,-250.07519854686663,250.07519854686663,0.15004511912811996,,,,,0.003665817214959525,68177.2,750.2255956405999,1000.1508390954099,enter short: stable negative 10m/30m/60m bias
168,2026-02-07 12:06:00+00:00,close_short,short,trend_short,68421.0,0.003665817214959525,0.003665817214959525,249.03098098206064,250.07519854686663,0.15004511912811996,0.15049132779884739,250.81887966474565,249.03098098206064,-1.1942626839341102,0.0,,999.2565766226605,999.2565766226605,stop_loss
168,2026-02-09 00:18:00+00:00,open_long,long,trend_long,70490.8,0.003541799152076182,0.003541799152076182,-249.81414415566513,249.81414415566513,0.14988848649339906,,,,,0.003541799152076182,70490.8,749.4424324669953,999.106778069259,enter long: stable positive 10m/30m/60m bias
168,2026-02-09 00:31:00+00:00,close_long,long,trend_long,70454.2,0.003541799152076182,0.003541799152076182,249.53479353120701,249.81414415566513,0.14988848649339906,0.14972077549212343,249.53462582020572,249.53479353120701,-0.4292391109515314,0.0,,998.9772259982024,998.9772259982024,sharp_drop_close_long
168,2026-02-09 01:10:00+00:00,open_short,short,trend_short,70373.4,0.0035467159454517032,0.0035467159454517032,-249.7443064995506,249.7443064995506,0.14984658389973035,,,,,0.0035467159454517032,70373.4,749.2329194986518,998.827469322253,enter short: stable negative 10m/30m/60m bias
168,2026-02-09 01:21:00+00:00,close_short,short,trend_short,70645.8,0.0035467159454517032,0.0035467159454517032,248.62784472480598,249.7443064995506,0.14984658389973035,0.15033635120351516,250.56058533919196,248.62784472480598,-1.2663083586443205,0.0,,997.8607642234577,997.8607642234577,stop_loss
168,2026-02-09 01:47:00+00:00,open_short,short,trend_short,70259.6,0.0035484903406969425,0.0035484903406969425,-249.46519105586444,249.46519105586444,0.14967911463351866,,,,,0.0035484903406969425,70259.6,748.3955731675933,997.711174916293,enter short: stable negative 10m/30m/60m bias
168,2026-02-09 02:30:00+00:00,close_short,short,trend_short,70509.0,0.0035484903406969425,0.0035484903406969425,248.43007726163532,249.46519105586444,0.14967911463351866,0.1501203032593204,250.2005054322007,248.43007726163532,-1.1847929088626359,0.0,,996.8256504292286,996.8256504292286,stop_loss
168,2026-02-11 15:34:00+00:00,open_long,long,trend_long,66316.2,0.0037555965022082506,0.0037555965022082506,-249.20641260730716,249.20641260730716,0.14952384756438428,,,,,0.0037555965022082506,66316.2,747.6192378219215,996.6762162959728,enter long: stable positive 10m/30m/60m bias
168,2026-02-11 15:43:00+00:00,close_long,long,trend_long,66690.3,0.0037555965022082506,0.0037555965022082506,250.46110414433656,249.20641260730716,0.14952384756438428,0.15027711444673134,250.46185741121892,250.46110414433656,1.1051676894650126,0.0,,998.0803419662581,998.0803419662581,sharp_drop_close_long
168,2026-02-11 16:03:00+00:00,open_short,short,trend_short,66448.3,0.0037528480554095377,0.0037528480554095377,-249.52008549156452,249.52008549156452,0.1497120512949387,,,,,0.0037528480554095377,66448.3,748.5602564746936,997.9307197421939,enter short: stable negative 10m/30m/60m bias
168,2026-02-11 16:10:00+00:00,close_short,short,trend_short,66865.1,0.0037528480554095377,0.0037528480554095377,247.80533768576396,249.52008549156452,0.1497120512949387,0.15056073630585856,250.9345605097643,247.80533768576396,-1.8644598570955035,0.0,,996.3655941604575,996.3655941604575,stop_loss
168,2026-02-11 17:19:00+00:00,open_long,long,trend_long,66338.7,0.003752590022128717,0.003752590022128717,-249.09139854011437,249.09139854011437,0.1494548391240686,,,,,0.003752590022128717,66338.7,747.2741956203431,996.2162289942369,enter long: stable positive 10m/30m/60m bias
168,2026-02-11 17:25:00+00:00,close_long,long,trend_long,66671.5,0.003752590022128717,0.003752590022128717,250.19014601608262,249.09139854011437,0.1494548391240686,0.15011448339621283,250.19080566035475,250.19014601608262,0.9492926368441664,0.0,,997.4643416364257,997.4643416364257,sharp_drop_close_long
168,2026-02-11 18:02:00+00:00,open_short,short,trend_short,66406.9,0.0037528700444962944,0.0037528700444962944,-249.36608540910643,249.36608540910643,0.14961965124546384,,,,,0.0037528700444962944,66406.9,748.0982562273193,997.314811756971,enter short: stable negative 10m/30m/60m bias
168,2026-02-11 18:16:00+00:00,close_short,short,trend_short,66693.5,0.0037528700444962944,0.0037528700444962944,248.1403376313662,249.36608540910643,0.14961965124546384,0.15017522298756816,250.2920383126136,248.1403376313662,-1.3753674289856919,0.0,,996.2385938586856,996.2385938586856,stop_loss
168,2026-02-12 16:56:00+00:00,open_long,long,trend_long,65783.6,0.0037837730479267258,0.0037837730479267258,-249.0596484646714,249.0596484646714,0.14943578907880284,,,,,0.0037837730479267258,65783.6,747.1789453940141,996.0892477310803,enter long: stable positive 10m/30m/60m bias
168,2026-02-12 17:04:00+00:00,close_long,long,trend_long,65835.2,0.0037837730479267258,0.0037837730479267258,249.10542788072547,249.0596484646714,0.14943578907880284,0.14946327321891933,249.10545536486558,249.10542788072547,-0.10365637302473615,0.0,,996.2843732747397,996.2843732747397,sharp_drop_close_long
168,2026-02-12 17:26:00+00:00,open_long,long,trend_long,66070.5,0.0037675157697110466,0.0037675157697110466,-249.07109331868492,249.07109331868492,0.14944265599121093,,,,,0.0037675157697110466,66070.5,747.2132799560547,996.1350202843421,enter long: stable positive 10m/30m/60m bias
168,2026-02-12 17:28:00+00:00,close_long,long,trend_long,66144.6,0.0037675157697110466,0.0037675157697110466,249.2007457430718,249.07109331868492,0.14944265599121093,0.14952049414873758,249.20082358122932,249.2007457430718,-0.019790231604338016,0.0,,996.4140256991266,996.4140256991266,sharp_drop_close_long
168,2026-02-12 18:37:00+00:00,open_short,short,trend_short,65428.9,0.0038049553686662434,0.0038049553686662434,-249.10350642478164,249.10350642478164,0.14946210385486897,,,,,0.0038049553686662434,65428.9,747.3105192743449,996.264653272534,enter short: stable negative 10m/30m/60m bias
168,2026-02-12 19:02:00+00:00,close_short,short,trend_short,65670.4,0.0038049553686662434,0.0038049553686662434,248.0346859386233,249.10350642478164,0.14946210385486897,0.14992376462547577,249.87294104245964,248.0346859386233,-1.2182825900132148,0.0,,995.3452052129682,995.3452052129682,stop_loss
168,2026-02-12 19:34:00+00:00,open_short,short,trend_short,65850.0,0.0037765679502271845,0.0037765679502271845,-248.83630130324204,248.83630130324204,0.1493017807819452,,,,,0.0037765679502271845,65850.0,746.5089039097261,995.1959930132547,enter short: stable negative 10m/30m/60m bias
