model,MAE,RMSE,MAPE
naive,451.9310793236909,3400.6277956935332,1.2124825949596998
arima,456.33278040333323,3400.3036078203168,1.2273508381844742
lstm,456.34242577112803,3401.4362725616934,1.2219083230897994
nbeats,557.318656514233,3416.0834364326715,1.5462576555835263
