model,MAE,RMSE,MAPE
naive,467.1060705277755,3579.102018920557,1.1757750403082168
arima,468.07030376576677,3579.150153439782,1.1785922886762807
lstm,476.06934173439606,3582.545077258802,1.1929208891534675
nbeats,482.5345183332318,3577.9982159628607,1.2227501293764127
