model,MAE,RMSE,MAPE
naive,430.28162330748455,3373.1557270478647,1.1190841565236522
arima,430.7663441079882,3373.1383716600903,1.1209879681298653
lstm,435.55189687422,3374.3331197068233,1.1330093081224561
nbeats,444.8381519127068,3372.8925939093983,1.1635201938089277
