week,start_ts,end_ts,raw_points,clean_points
1,2023-03-06 15:00:00+00:00,2023-03-13 14:00:00+00:00,168,166
2,2024-12-11 01:00:00+00:00,2024-12-18 00:00:00+00:00,168,168
3,2022-09-21 08:00:00+00:00,2022-09-28 07:00:00+00:00,168,165
4,2024-09-05 01:00:00+00:00,2024-09-12 00:00:00+00:00,168,168
5,2023-12-22 07:00:00+00:00,2023-12-29 06:00:00+00:00,168,168
6,2023-03-24 01:00:00+00:00,2023-03-31 00:00:00+00:00,168,168
7,2022-04-26 20:00:00+00:00,2022-05-03 19:00:00+00:00,168,168
8,2025-03-21 04:00:00+00:00,2025-03-28 03:00:00+00:00,168,168
9,2024-06-04 02:00:00+00:00,2024-06-11 01:00:00+00:00,168,168
10,2022-07-11 02:00:00+00:00,2022-07-18 01:00:00+00:00,168,168
11,2022-05-09 15:00:00+00:00,2022-05-16 14:00:00+00:00,168,168
12,2023-07-04 04:00:00+00:00,2023-07-11 03:00:00+00:00,168,167
13,2024-10-03 22:00:00+00:00,2024-10-10 21:00:00+00:00,168,168
14,2023-10-12 01:00:00+00:00,2023-10-19 00:00:00+00:00,168,167
15,2023-03-12 15:00:00+00:00,2023-03-19 14:00:00+00:00,168,168
16,2023-10-06 20:00:00+00:00,2023-10-13 19:00:00+00:00,168,168
17,2024-04-28 07:00:00+00:00,2024-05-05 06:00:00+00:00,168,168
18,2023-11-22 09:00:00+00:00,2023-11-29 08:00:00+00:00,168,168
19,2024-06-10 10:00:00+00:00,2024-06-17 09:00:00+00:00,168,167
20,2025-12-27 21:00:00+00:00,2026-01-03 20:00:00+00:00,168,168
21,2024-10-09 20:00:00+00:00,2024-10-16 19:00:00+00:00,168,165
22,2022-03-05 04:00:00+00:00,2022-03-12 03:00:00+00:00,168,168
23,2025-12-13 16:00:00+00:00,2025-12-20 15:00:00+00:00,168,166
24,2023-01-12 03:00:00+00:00,2023-01-19 02:00:00+00:00,168,166
25,2024-10-06 04:00:00+00:00,2024-10-13 03:00:00+00:00,168,168
26,2025-12-12 09:00:00+00:00,2025-12-19 08:00:00+00:00,168,162
27,2023-04-30 04:00:00+00:00,2023-05-07 03:00:00+00:00,168,167
28,2022-07-09 01:00:00+00:00,2022-07-16 00:00:00+00:00,168,168
29,2024-05-26 10:00:00+00:00,2024-06-02 09:00:00+00:00,168,168
30,2023-10-26 12:00:00+00:00,2023-11-02 11:00:00+00:00,168,167
31,2023-07-20 02:00:00+00:00,2023-07-27 01:00:00+00:00,168,166
32,2024-08-16 22:00:00+00:00,2024-08-23 21:00:00+00:00,168,168
33,2025-11-03 00:00:00+00:00,2025-11-09 23:00:00+00:00,168,168
34,2025-08-19 08:00:00+00:00,2025-08-26 07:00:00+00:00,168,167
35,2024-01-24 04:00:00+00:00,2024-01-31 03:00:00+00:00,168,168
