week,start_ts,end_ts,raw_points,clean_points
1,2024-02-24 12:00:00+00:00,2024-03-02 11:00:00+00:00,168,168
2,2022-07-03 14:00:00+00:00,2022-07-10 13:00:00+00:00,168,168
3,2023-06-25 12:00:00+00:00,2023-07-02 11:00:00+00:00,168,167
4,2026-01-10 19:00:00+00:00,2026-01-17 18:00:00+00:00,168,168
5,2023-07-29 21:00:00+00:00,2023-08-05 20:00:00+00:00,168,167
6,2024-04-25 04:00:00+00:00,2024-05-02 03:00:00+00:00,168,166
7,2024-08-24 15:00:00+00:00,2024-08-31 14:00:00+00:00,168,168
8,2022-09-19 08:00:00+00:00,2022-09-26 07:00:00+00:00,168,166
9,2025-04-14 05:00:00+00:00,2025-04-21 04:00:00+00:00,168,168
10,2023-07-28 07:00:00+00:00,2023-08-04 06:00:00+00:00,168,167
