model,MAE,RMSE,MAPE
naive,461.7552005670241,4522.8557662727335,1.7585270386527394
arima,462.6623643016245,4522.84856958023,1.7620529419117283
lstm,468.16186912590763,4525.442404094138,1.7765484068105901
nbeats,478.64134628911006,4520.671761373579,1.8399523335507944
