week,start_ts,end_ts,raw_points,clean_points
1,2024-06-03 03:00:00+00:00,2024-06-10 02:00:00+00:00,168,168
2,2024-07-20 03:00:00+00:00,2024-07-27 02:00:00+00:00,168,168
3,2025-05-22 04:00:00+00:00,2025-05-29 03:00:00+00:00,168,168
4,2024-11-25 21:00:00+00:00,2024-12-02 20:00:00+00:00,168,168
5,2024-11-13 19:00:00+00:00,2024-11-20 18:00:00+00:00,168,168
6,2023-10-18 15:00:00+00:00,2023-10-25 14:00:00+00:00,168,167
7,2025-09-05 07:00:00+00:00,2025-09-12 06:00:00+00:00,168,167
8,2025-11-29 14:00:00+00:00,2025-12-06 13:00:00+00:00,168,167
9,2025-01-29 15:00:00+00:00,2025-02-05 14:00:00+00:00,168,168
10,2024-10-18 03:00:00+00:00,2024-10-25 02:00:00+00:00,168,168
