week,start_ts,end_ts,raw_points,clean_points
1,2022-05-04 21:00:00+00:00,2022-05-11 20:00:00+00:00,168,166
2,2023-01-14 18:00:00+00:00,2023-01-21 17:00:00+00:00,168,167
3,2023-02-27 00:00:00+00:00,2023-03-05 23:00:00+00:00,168,167
4,2025-07-01 10:00:00+00:00,2025-07-08 09:00:00+00:00,168,168
5,2022-09-10 00:00:00+00:00,2022-09-16 23:00:00+00:00,168,167
6,2022-03-13 05:00:00+00:00,2022-03-20 04:00:00+00:00,168,166
7,2022-05-06 06:00:00+00:00,2022-05-13 05:00:00+00:00,168,168
8,2022-03-24 15:00:00+00:00,2022-03-31 14:00:00+00:00,168,167
9,2025-12-13 13:00:00+00:00,2025-12-20 12:00:00+00:00,168,166
10,2025-11-11 14:00:00+00:00,2025-11-18 13:00:00+00:00,168,168
11,2023-03-25 23:00:00+00:00,2023-04-01 22:00:00+00:00,168,168
12,2026-01-31 05:00:00+00:00,2026-02-07 04:00:00+00:00,168,168
13,2024-03-30 03:00:00+00:00,2024-04-06 02:00:00+00:00,168,167
14,2022-09-27 00:00:00+00:00,2022-10-03 23:00:00+00:00,168,166
15,2022-04-26 03:00:00+00:00,2022-05-03 02:00:00+00:00,168,168
16,2022-05-17 20:00:00+00:00,2022-05-24 19:00:00+00:00,168,168
17,2024-11-01 21:00:00+00:00,2024-11-08 20:00:00+00:00,168,168
18,2025-06-20 11:00:00+00:00,2025-06-27 10:00:00+00:00,168,168
19,2025-07-15 08:00:00+00:00,2025-07-22 07:00:00+00:00,168,168
20,2023-05-24 21:00:00+00:00,2023-05-31 20:00:00+00:00,168,168
