model,MAE,RMSE,MAPE
naive,469.06007698243786,3517.9368664175113,1.289468797655023
lstm,476.5607897166815,3520.412792442459,1.3070987307827426
nbeats,490.01743408027244,3519.3573643233053,1.346426456967359
