week,start_ts,end_ts,raw_points,clean_points
1,2024-07-24 12:00:00+00:00,2024-07-31 11:00:00+00:00,168,168
2,2023-12-27 19:00:00+00:00,2024-01-03 18:00:00+00:00,168,167
3,2024-12-18 17:00:00+00:00,2024-12-25 16:00:00+00:00,168,168
4,2024-03-20 08:00:00+00:00,2024-03-27 07:00:00+00:00,168,168
5,2022-11-03 08:00:00+00:00,2022-11-10 07:00:00+00:00,168,165
6,2023-05-24 06:00:00+00:00,2023-05-31 05:00:00+00:00,168,168
7,2024-05-22 02:00:00+00:00,2024-05-29 01:00:00+00:00,168,168
8,2024-06-23 19:00:00+00:00,2024-06-30 18:00:00+00:00,168,167
9,2023-04-21 04:00:00+00:00,2023-04-28 03:00:00+00:00,168,165
10,2023-06-30 23:00:00+00:00,2023-07-07 22:00:00+00:00,168,167
