model,MAE,RMSE,MAPE
naive,236.8229411764708,338.94730207960265,0.39574054830759803
arima,250.31050961551873,352.9469975856914,0.4134302976243636
ast,1019.7987540425862,1234.0471215521302,1.9943344856914682
