week,start_ts,end_ts,raw_points,clean_points
1,2023-03-24 18:00:00+00:00,2023-03-31 17:00:00+00:00,168,168
2,2022-06-28 03:00:00+00:00,2022-07-05 02:00:00+00:00,168,167
3,2024-02-20 23:00:00+00:00,2024-02-27 22:00:00+00:00,168,168
4,2022-09-29 08:00:00+00:00,2022-10-06 07:00:00+00:00,168,167
5,2023-06-30 09:00:00+00:00,2023-07-07 08:00:00+00:00,168,166
6,2024-04-27 13:00:00+00:00,2024-05-04 12:00:00+00:00,168,166
7,2024-04-24 06:00:00+00:00,2024-05-01 05:00:00+00:00,168,168
8,2022-08-30 09:00:00+00:00,2022-09-06 08:00:00+00:00,168,168
9,2022-11-22 01:00:00+00:00,2022-11-29 00:00:00+00:00,168,168
10,2023-11-05 09:00:00+00:00,2023-11-12 08:00:00+00:00,168,168
11,2023-06-15 13:00:00+00:00,2023-06-22 12:00:00+00:00,168,168
12,2022-05-05 03:00:00+00:00,2022-05-12 02:00:00+00:00,168,166
13,2023-11-14 01:00:00+00:00,2023-11-21 00:00:00+00:00,168,166
14,2025-07-08 15:00:00+00:00,2025-07-15 14:00:00+00:00,168,166
15,2023-11-01 18:00:00+00:00,2023-11-08 17:00:00+00:00,168,167
16,2024-09-16 02:00:00+00:00,2024-09-23 01:00:00+00:00,168,168
17,2024-06-25 12:00:00+00:00,2024-07-02 11:00:00+00:00,168,168
18,2025-09-01 22:00:00+00:00,2025-09-08 21:00:00+00:00,168,166
19,2022-12-04 15:00:00+00:00,2022-12-11 14:00:00+00:00,168,167
20,2022-08-17 19:00:00+00:00,2022-08-24 18:00:00+00:00,168,167
21,2023-05-07 01:00:00+00:00,2023-05-14 00:00:00+00:00,168,167
22,2025-06-07 22:00:00+00:00,2025-06-14 21:00:00+00:00,168,168
23,2024-08-20 20:00:00+00:00,2024-08-27 19:00:00+00:00,168,168
24,2023-08-12 09:00:00+00:00,2023-08-19 08:00:00+00:00,168,165
25,2025-05-29 02:00:00+00:00,2025-06-05 01:00:00+00:00,168,168
26,2023-11-26 21:00:00+00:00,2023-12-03 20:00:00+00:00,168,168
27,2025-09-13 11:00:00+00:00,2025-09-20 10:00:00+00:00,168,168
28,2023-06-21 09:00:00+00:00,2023-06-28 08:00:00+00:00,168,167
29,2025-12-29 08:00:00+00:00,2026-01-05 07:00:00+00:00,168,168
30,2026-02-03 21:00:00+00:00,2026-02-10 20:00:00+00:00,168,168
31,2022-03-23 20:00:00+00:00,2022-03-30 19:00:00+00:00,168,167
32,2024-07-16 13:00:00+00:00,2024-07-23 12:00:00+00:00,168,168
33,2026-01-08 05:00:00+00:00,2026-01-15 04:00:00+00:00,168,168
34,2024-11-28 06:00:00+00:00,2024-12-05 05:00:00+00:00,168,168
35,2023-09-30 04:00:00+00:00,2023-10-07 03:00:00+00:00,168,166
36,2025-06-30 20:00:00+00:00,2025-07-07 19:00:00+00:00,168,168
37,2025-05-13 07:00:00+00:00,2025-05-20 06:00:00+00:00,168,168
38,2022-08-20 19:00:00+00:00,2022-08-27 18:00:00+00:00,168,167
39,2024-11-26 22:00:00+00:00,2024-12-03 21:00:00+00:00,168,168
40,2025-01-02 03:00:00+00:00,2025-01-09 02:00:00+00:00,168,168
41,2024-02-15 20:00:00+00:00,2024-02-22 19:00:00+00:00,168,168
42,2025-01-10 00:00:00+00:00,2025-01-16 23:00:00+00:00,168,168
43,2022-08-21 21:00:00+00:00,2022-08-28 20:00:00+00:00,168,167
44,2025-09-22 09:00:00+00:00,2025-09-29 08:00:00+00:00,168,167
45,2022-12-03 05:00:00+00:00,2022-12-10 04:00:00+00:00,168,167
46,2023-12-28 19:00:00+00:00,2024-01-04 18:00:00+00:00,168,167
47,2023-10-12 08:00:00+00:00,2023-10-19 07:00:00+00:00,168,167
48,2023-09-22 04:00:00+00:00,2023-09-29 03:00:00+00:00,168,166
49,2024-05-18 06:00:00+00:00,2024-05-25 05:00:00+00:00,168,167
50,2022-06-05 06:00:00+00:00,2022-06-12 05:00:00+00:00,168,167
51,2024-10-30 01:00:00+00:00,2024-11-06 00:00:00+00:00,168,168
52,2025-03-27 19:00:00+00:00,2025-04-03 18:00:00+00:00,168,168
53,2024-02-24 14:00:00+00:00,2024-03-02 13:00:00+00:00,168,168
54,2023-08-18 16:00:00+00:00,2023-08-25 15:00:00+00:00,168,168
55,2026-02-01 00:00:00+00:00,2026-02-07 23:00:00+00:00,168,168
56,2023-10-14 16:00:00+00:00,2023-10-21 15:00:00+00:00,168,167
57,2025-03-13 07:00:00+00:00,2025-03-20 06:00:00+00:00,168,168
58,2025-01-03 19:00:00+00:00,2025-01-10 18:00:00+00:00,168,168
59,2022-11-13 03:00:00+00:00,2022-11-20 02:00:00+00:00,168,167
60,2024-05-29 15:00:00+00:00,2024-06-05 14:00:00+00:00,168,168
61,2022-08-01 14:00:00+00:00,2022-08-08 13:00:00+00:00,168,168
62,2024-12-03 17:00:00+00:00,2024-12-10 16:00:00+00:00,168,168
63,2023-12-11 17:00:00+00:00,2023-12-18 16:00:00+00:00,168,168
64,2022-12-20 23:00:00+00:00,2022-12-27 22:00:00+00:00,168,168
65,2024-08-17 15:00:00+00:00,2024-08-24 14:00:00+00:00,168,168
66,2023-04-06 16:00:00+00:00,2023-04-13 15:00:00+00:00,168,167
67,2025-07-10 18:00:00+00:00,2025-07-17 17:00:00+00:00,168,167
68,2024-03-20 05:00:00+00:00,2024-03-27 04:00:00+00:00,168,168
69,2024-06-29 19:00:00+00:00,2024-07-06 18:00:00+00:00,168,167
70,2024-07-17 05:00:00+00:00,2024-07-24 04:00:00+00:00,168,168
71,2024-11-26 04:00:00+00:00,2024-12-03 03:00:00+00:00,168,168
72,2024-05-10 02:00:00+00:00,2024-05-17 01:00:00+00:00,168,167
73,2022-06-10 06:00:00+00:00,2022-06-17 05:00:00+00:00,168,168
74,2025-07-21 02:00:00+00:00,2025-07-28 01:00:00+00:00,168,168
75,2025-02-19 17:00:00+00:00,2025-02-26 16:00:00+00:00,168,167
76,2025-06-13 19:00:00+00:00,2025-06-20 18:00:00+00:00,168,168
77,2025-10-03 04:00:00+00:00,2025-10-10 03:00:00+00:00,168,168
78,2023-05-17 19:00:00+00:00,2023-05-24 18:00:00+00:00,168,167
79,2024-11-12 23:00:00+00:00,2024-11-19 22:00:00+00:00,168,168
80,2022-06-09 23:00:00+00:00,2022-06-16 22:00:00+00:00,168,168
81,2023-08-12 02:00:00+00:00,2023-08-19 01:00:00+00:00,168,165
82,2024-07-27 16:00:00+00:00,2024-08-03 15:00:00+00:00,168,167
83,2023-09-27 14:00:00+00:00,2023-10-04 13:00:00+00:00,168,167
84,2022-05-09 00:00:00+00:00,2022-05-15 23:00:00+00:00,168,168
85,2025-01-07 13:00:00+00:00,2025-01-14 12:00:00+00:00,168,168
86,2022-05-26 00:00:00+00:00,2022-06-01 23:00:00+00:00,168,168
87,2024-08-18 12:00:00+00:00,2024-08-25 11:00:00+00:00,168,168
88,2024-07-19 17:00:00+00:00,2024-07-26 16:00:00+00:00,168,168
89,2024-10-23 06:00:00+00:00,2024-10-30 05:00:00+00:00,168,168
90,2024-06-07 16:00:00+00:00,2024-06-14 15:00:00+00:00,168,166
91,2025-11-29 18:00:00+00:00,2025-12-06 17:00:00+00:00,168,167
