model,MAE,RMSE,MAPE
naive,475.83196486171767,3650.6265342727443,1.135904696065088
lstm,476.22462617358724,3651.5393248749424,1.1364377581916345
nbeats,480.56950278124316,3651.886172411255,1.1525758934083004
