week,start_ts,end_ts,raw_points,clean_points
1,2024-03-18 13:00:00+00:00,2024-03-25 12:00:00+00:00,168,168
2,2023-05-23 08:00:00+00:00,2023-05-30 07:00:00+00:00,168,168
3,2023-02-22 13:00:00+00:00,2023-03-01 12:00:00+00:00,168,168
4,2025-10-20 14:00:00+00:00,2025-10-27 13:00:00+00:00,168,167
5,2023-08-07 05:00:00+00:00,2023-08-14 04:00:00+00:00,168,168
6,2025-02-13 20:00:00+00:00,2025-02-20 19:00:00+00:00,168,168
7,2023-06-16 19:00:00+00:00,2023-06-23 18:00:00+00:00,168,167
8,2023-04-26 23:00:00+00:00,2023-05-03 22:00:00+00:00,168,166
9,2025-08-26 05:00:00+00:00,2025-09-02 04:00:00+00:00,168,168
10,2023-12-12 14:00:00+00:00,2023-12-19 13:00:00+00:00,168,168
11,2024-09-17 04:00:00+00:00,2024-09-24 03:00:00+00:00,168,168
12,2022-11-02 10:00:00+00:00,2022-11-09 09:00:00+00:00,168,163
13,2023-09-17 03:00:00+00:00,2023-09-24 02:00:00+00:00,168,167
14,2025-08-02 11:00:00+00:00,2025-08-09 10:00:00+00:00,168,168
15,2024-04-23 03:00:00+00:00,2024-04-30 02:00:00+00:00,168,168
16,2025-12-29 20:00:00+00:00,2026-01-05 19:00:00+00:00,168,168
17,2022-10-06 21:00:00+00:00,2022-10-13 20:00:00+00:00,168,165
18,2024-02-17 19:00:00+00:00,2024-02-24 18:00:00+00:00,168,168
19,2024-06-24 01:00:00+00:00,2024-07-01 00:00:00+00:00,168,167
20,2024-12-23 11:00:00+00:00,2024-12-30 10:00:00+00:00,168,168
21,2024-02-02 13:00:00+00:00,2024-02-09 12:00:00+00:00,168,168
22,2023-11-20 00:00:00+00:00,2023-11-26 23:00:00+00:00,168,168
23,2025-11-26 15:00:00+00:00,2025-12-03 14:00:00+00:00,168,167
24,2024-06-25 02:00:00+00:00,2024-07-02 01:00:00+00:00,168,168
25,2023-07-20 18:00:00+00:00,2023-07-27 17:00:00+00:00,168,167
26,2022-05-31 12:00:00+00:00,2022-06-07 11:00:00+00:00,168,167
27,2022-03-20 16:00:00+00:00,2022-03-27 15:00:00+00:00,168,168
28,2024-08-14 00:00:00+00:00,2024-08-20 23:00:00+00:00,168,168
29,2025-08-27 03:00:00+00:00,2025-09-03 02:00:00+00:00,168,167
30,2024-02-14 00:00:00+00:00,2024-02-20 23:00:00+00:00,168,168
31,2024-01-25 19:00:00+00:00,2024-02-01 18:00:00+00:00,168,168
32,2024-04-09 03:00:00+00:00,2024-04-16 02:00:00+00:00,168,167
33,2022-08-05 14:00:00+00:00,2022-08-12 13:00:00+00:00,168,167
34,2025-05-06 23:00:00+00:00,2025-05-13 22:00:00+00:00,168,168
35,2024-12-07 06:00:00+00:00,2024-12-14 05:00:00+00:00,168,168
36,2023-02-16 09:00:00+00:00,2023-02-23 08:00:00+00:00,168,168
37,2023-12-07 13:00:00+00:00,2023-12-14 12:00:00+00:00,168,167
38,2023-02-08 17:00:00+00:00,2023-02-15 16:00:00+00:00,168,166
39,2024-03-02 11:00:00+00:00,2024-03-09 10:00:00+00:00,168,167
40,2022-05-01 14:00:00+00:00,2022-05-08 13:00:00+00:00,168,167
41,2024-11-06 11:00:00+00:00,2024-11-13 10:00:00+00:00,168,168
42,2025-01-22 13:00:00+00:00,2025-01-29 12:00:00+00:00,168,168
43,2023-01-13 00:00:00+00:00,2023-01-19 23:00:00+00:00,168,167
44,2023-12-28 18:00:00+00:00,2024-01-04 17:00:00+00:00,168,167
45,2022-09-24 23:00:00+00:00,2022-10-01 22:00:00+00:00,168,167
46,2022-11-07 20:00:00+00:00,2022-11-14 19:00:00+00:00,168,167
47,2023-10-24 18:00:00+00:00,2023-10-31 17:00:00+00:00,168,168
48,2024-01-11 03:00:00+00:00,2024-01-18 02:00:00+00:00,168,167
49,2022-04-18 13:00:00+00:00,2022-04-25 12:00:00+00:00,168,168
50,2022-04-04 19:00:00+00:00,2022-04-11 18:00:00+00:00,168,168
51,2023-04-28 06:00:00+00:00,2023-05-05 05:00:00+00:00,168,167
52,2025-05-10 02:00:00+00:00,2025-05-17 01:00:00+00:00,168,168
53,2025-10-28 04:00:00+00:00,2025-11-04 03:00:00+00:00,168,168
54,2022-04-27 10:00:00+00:00,2022-05-04 09:00:00+00:00,168,168
55,2025-07-26 20:00:00+00:00,2025-08-02 19:00:00+00:00,168,168
56,2023-02-08 08:00:00+00:00,2023-02-15 07:00:00+00:00,168,166
57,2022-06-25 22:00:00+00:00,2022-07-02 21:00:00+00:00,168,167
58,2023-09-06 18:00:00+00:00,2023-09-13 17:00:00+00:00,168,166
59,2023-04-22 00:00:00+00:00,2023-04-28 23:00:00+00:00,168,165
60,2025-01-15 13:00:00+00:00,2025-01-22 12:00:00+00:00,168,167
61,2024-02-15 00:00:00+00:00,2024-02-21 23:00:00+00:00,168,168
62,2024-01-11 19:00:00+00:00,2024-01-18 18:00:00+00:00,168,168
63,2023-09-21 11:00:00+00:00,2023-09-28 10:00:00+00:00,168,166
64,2025-09-27 15:00:00+00:00,2025-10-04 14:00:00+00:00,168,168
65,2023-09-06 10:00:00+00:00,2023-09-13 09:00:00+00:00,168,166
66,2023-12-17 18:00:00+00:00,2023-12-24 17:00:00+00:00,168,168
67,2024-01-01 22:00:00+00:00,2024-01-08 21:00:00+00:00,168,167
68,2023-07-02 05:00:00+00:00,2023-07-09 04:00:00+00:00,168,167
69,2023-06-26 01:00:00+00:00,2023-07-03 00:00:00+00:00,168,167
70,2026-01-25 09:00:00+00:00,2026-02-01 08:00:00+00:00,168,168
71,2026-01-29 00:00:00+00:00,2026-02-04 23:00:00+00:00,168,168
72,2022-06-19 06:00:00+00:00,2022-06-26 05:00:00+00:00,168,168
73,2024-08-08 06:00:00+00:00,2024-08-15 05:00:00+00:00,168,167
74,2025-02-05 10:00:00+00:00,2025-02-12 09:00:00+00:00,168,168
75,2024-10-20 15:00:00+00:00,2024-10-27 14:00:00+00:00,168,168
76,2023-02-27 20:00:00+00:00,2023-03-06 19:00:00+00:00,168,167
77,2023-10-17 06:00:00+00:00,2023-10-24 05:00:00+00:00,168,167
78,2023-12-26 22:00:00+00:00,2024-01-02 21:00:00+00:00,168,168
79,2024-01-25 12:00:00+00:00,2024-02-01 11:00:00+00:00,168,168
80,2025-12-21 21:00:00+00:00,2025-12-28 20:00:00+00:00,168,166
81,2022-07-18 16:00:00+00:00,2022-07-25 15:00:00+00:00,168,168
82,2022-05-07 15:00:00+00:00,2022-05-14 14:00:00+00:00,168,168
83,2025-09-14 18:00:00+00:00,2025-09-21 17:00:00+00:00,168,168
84,2024-11-12 14:00:00+00:00,2024-11-19 13:00:00+00:00,168,168
85,2025-11-24 20:00:00+00:00,2025-12-01 19:00:00+00:00,168,167
86,2024-01-26 15:00:00+00:00,2024-02-02 14:00:00+00:00,168,168
87,2025-02-28 10:00:00+00:00,2025-03-07 09:00:00+00:00,168,168
88,2022-05-22 13:00:00+00:00,2022-05-29 12:00:00+00:00,168,168
89,2023-02-01 07:00:00+00:00,2023-02-08 06:00:00+00:00,168,166
90,2022-08-06 09:00:00+00:00,2022-08-13 08:00:00+00:00,168,167
91,2023-01-10 00:00:00+00:00,2023-01-16 23:00:00+00:00,168,166
92,2024-01-30 01:00:00+00:00,2024-02-06 00:00:00+00:00,168,168
93,2025-11-27 20:00:00+00:00,2025-12-04 19:00:00+00:00,168,167
94,2024-01-10 22:00:00+00:00,2024-01-17 21:00:00+00:00,168,167
95,2022-09-15 21:00:00+00:00,2022-09-22 20:00:00+00:00,168,166
96,2023-11-25 16:00:00+00:00,2023-12-02 15:00:00+00:00,168,168
97,2025-05-09 19:00:00+00:00,2025-05-16 18:00:00+00:00,168,168
98,2023-12-06 23:00:00+00:00,2023-12-13 22:00:00+00:00,168,167
99,2025-04-26 22:00:00+00:00,2025-05-03 21:00:00+00:00,168,168
100,2025-05-17 21:00:00+00:00,2025-05-24 20:00:00+00:00,168,168
