week,start_ts,end_ts,raw_points,clean_points
1,2024-04-19 08:00:00+00:00,2024-04-26 07:00:00+00:00,168,168
2,2022-09-15 05:00:00+00:00,2022-09-22 04:00:00+00:00,168,165
3,2024-12-07 17:00:00+00:00,2024-12-14 16:00:00+00:00,168,168
4,2022-06-06 15:00:00+00:00,2022-06-13 14:00:00+00:00,168,168
5,2026-02-08 18:00:00+00:00,2026-02-15 17:00:00+00:00,168,168
6,2025-09-29 10:00:00+00:00,2025-10-06 09:00:00+00:00,168,168
7,2024-10-12 02:00:00+00:00,2024-10-19 01:00:00+00:00,168,165
8,2023-07-18 22:00:00+00:00,2023-07-25 21:00:00+00:00,168,166
9,2023-03-02 09:00:00+00:00,2023-03-09 08:00:00+00:00,168,167
10,2022-07-10 06:00:00+00:00,2022-07-17 05:00:00+00:00,168,168
11,2025-01-05 05:00:00+00:00,2025-01-12 04:00:00+00:00,168,168
12,2022-05-29 12:00:00+00:00,2022-06-05 11:00:00+00:00,168,168
13,2025-08-23 19:00:00+00:00,2025-08-30 18:00:00+00:00,168,168
14,2025-07-21 05:00:00+00:00,2025-07-28 04:00:00+00:00,168,168
15,2022-10-30 18:00:00+00:00,2022-11-06 17:00:00+00:00,168,165
16,2024-05-07 21:00:00+00:00,2024-05-14 20:00:00+00:00,168,167
17,2022-10-09 16:00:00+00:00,2022-10-16 15:00:00+00:00,168,165
18,2025-10-05 14:00:00+00:00,2025-10-12 13:00:00+00:00,168,168
19,2025-02-24 22:00:00+00:00,2025-03-03 21:00:00+00:00,168,168
20,2022-05-04 18:00:00+00:00,2022-05-11 17:00:00+00:00,168,166
