symbol,week,start_ts,end_ts,model,n_points,MAE,RMSE,MAPE
BTCUSDT,1,2024-06-03 03:00:00+00:00,2024-06-10 02:00:00+00:00,naive,168,63.15294117647093,90.72608095088285,0.0908405850238769
BTCUSDT,1,2024-06-03 03:00:00+00:00,2024-06-10 02:00:00+00:00,arima,168,60.69231314281462,86.50572433985623,0.08729225697953656
BTCUSDT,1,2024-06-03 03:00:00+00:00,2024-06-10 02:00:00+00:00,ast,168,122.89588753384481,158.59693746752802,0.17657409640284505
BTCUSDT,2,2024-07-20 03:00:00+00:00,2024-07-27 02:00:00+00:00,naive,168,244.21764705882464,321.4599590837378,0.3657587894853137
BTCUSDT,2,2024-07-20 03:00:00+00:00,2024-07-27 02:00:00+00:00,arima,168,243.84073871313205,318.04963541289794,0.3651668381839825
BTCUSDT,2,2024-07-20 03:00:00+00:00,2024-07-27 02:00:00+00:00,ast,168,853.5289087450266,927.2471223713096,1.270583776127236
BTCUSDT,3,2025-05-22 04:00:00+00:00,2025-05-29 03:00:00+00:00,naive,168,268.35000000000025,334.4815026099886,0.2480781953870756
BTCUSDT,3,2025-05-22 04:00:00+00:00,2025-05-29 03:00:00+00:00,arima,168,269.0693819158623,335.2030816650315,0.2487478852235544
BTCUSDT,3,2025-05-22 04:00:00+00:00,2025-05-29 03:00:00+00:00,ast,168,622.977782477006,728.927874802819,0.5767745433247629
BTCUSDT,4,2024-11-25 21:00:00+00:00,2024-12-02 20:00:00+00:00,naive,168,434.5705882352965,558.8247915465647,0.45136622829370826
BTCUSDT,4,2024-11-25 21:00:00+00:00,2024-12-02 20:00:00+00:00,arima,168,440.48032894738355,561.1724466441458,0.4574797535766245
BTCUSDT,4,2024-11-25 21:00:00+00:00,2024-12-02 20:00:00+00:00,ast,168,518.2619616824977,653.0625397030539,0.5382704272420851
BTCUSDT,5,2024-11-13 19:00:00+00:00,2024-11-20 18:00:00+00:00,naive,168,365.3941176470578,470.37758612566984,0.3940056130946119
BTCUSDT,5,2024-11-13 19:00:00+00:00,2024-11-20 18:00:00+00:00,arima,168,379.7361586248358,470.16505621417065,0.40899272486820515
BTCUSDT,5,2024-11-13 19:00:00+00:00,2024-11-20 18:00:00+00:00,ast,168,1549.2171546340214,1768.1497180421459,1.6600302868569627
BTCUSDT,6,2023-10-18 15:00:00+00:00,2023-10-25 14:00:00+00:00,naive,167,168.67647058823422,225.3902380578281,0.4950912934719856
BTCUSDT,6,2023-10-18 15:00:00+00:00,2023-10-25 14:00:00+00:00,arima,167,171.0310623832064,244.26867887380163,0.5022739689012744
BTCUSDT,6,2023-10-18 15:00:00+00:00,2023-10-25 14:00:00+00:00,ast,167,212.315668331341,267.88488182412163,0.623464995822547
BTCUSDT,7,2025-09-05 07:00:00+00:00,2025-09-12 06:00:00+00:00,naive,167,202.4735294117636,265.57388746991234,0.17658015299536006
BTCUSDT,7,2025-09-05 07:00:00+00:00,2025-09-12 06:00:00+00:00,arima,167,207.35401434513528,269.71159303595647,0.18085531264797733
BTCUSDT,7,2025-09-05 07:00:00+00:00,2025-09-12 06:00:00+00:00,ast,167,1856.9530283798774,1936.2661784058973,1.6197804240821079
BTCUSDT,8,2025-11-29 14:00:00+00:00,2025-12-06 13:00:00+00:00,naive,167,256.9735294117649,417.4915388364185,0.2859458530259087
BTCUSDT,8,2025-11-29 14:00:00+00:00,2025-12-06 13:00:00+00:00,arima,167,285.35524302637737,461.09002164148234,0.3177258012501344
BTCUSDT,8,2025-11-29 14:00:00+00:00,2025-12-06 13:00:00+00:00,ast,167,1614.055368672708,1780.7489510465846,1.8022486218631582
BTCUSDT,9,2025-01-29 15:00:00+00:00,2025-02-05 14:00:00+00:00,naive,168,433.7852941176478,604.5031224071562,0.4415464071179232
BTCUSDT,9,2025-01-29 15:00:00+00:00,2025-02-05 14:00:00+00:00,arima,168,443.00918761185994,622.9732378918466,0.45091479131975076
BTCUSDT,9,2025-01-29 15:00:00+00:00,2025-02-05 14:00:00+00:00,ast,168,1359.1172786983277,1485.0859158501416,1.3777864909046549
BTCUSDT,10,2024-10-18 03:00:00+00:00,2024-10-25 02:00:00+00:00,naive,168,191.64999999999847,246.21650145397413,0.2848218194005338
BTCUSDT,10,2024-10-18 03:00:00+00:00,2024-10-25 02:00:00+00:00,arima,168,190.84498845435797,247.50187244013105,0.2836400841787619
BTCUSDT,10,2024-10-18 03:00:00+00:00,2024-10-25 02:00:00+00:00,ast,168,506.54593569053793,578.157662215343,0.751060277781286
