retrain_hours,timestamp,action,side,signal_type,price,qty,asset_qty,cash_flow,invested_cash_gross,entry_fee_cash,exit_fee_cash,gross_sale_value,net_sale_value,realized_pnl,position_qty_after,avg_entry_after,free_cash_after,equity_after,reason,grid_realized_pnl_after
168,2026-02-13 22:30:00+00:00,open_long,long,enter_long_C,68859.0,0.0036284291087584773,0.0036284291087584773,-250.0,250.0,0.15,,,,,0.0036284291087584773,68859.0,750.0,999.85009,enter long C: forecast reached +0.002% on minute 3 within 180 minutes,0.0
168,2026-02-14 02:30:00+00:00,close_long,long,enter_long_C,68858.9,0.0036284291087584773,0.0036284291087584773,249.84972737479484,250.0,0.15,0.14990978229425345,249.8496371570891,249.84972737479484,-0.3002726252051504,0.0,,999.8497273747948,999.8497273747948,max_hold_reached,
