model,MAE,RMSE,MAPE
naive,440.8297309202725,3196.2833122434413,1.1124629198688403
arima,441.2580805395574,3196.2756092998234,1.1141513094677733
lstm,442.5896970904429,3197.4369895867135,1.1166055357333766
nbeats,698.1538885346902,3234.2572022644185,1.8809104933458185
