model,MAE,RMSE,MAPE
catboost,499.9910832994842,3587.7078352396584,1.2202911523921025
naive,501.8809008149136,3588.624689052857,1.2230894216494925
nbeats,503.7655951812118,3587.611865077001,1.2292193429788076
lstm,505.1436391727112,3588.447410976606,1.2290433291723553
