symbol,week,start_ts,end_ts,model,n_points,MAE,RMSE,MAPE
BTCUSDT,1,2024-02-24 12:00:00+00:00,2024-03-02 11:00:00+00:00,naive,168,231.0352941176472,290.0725325115207,0.3725924656994385
BTCUSDT,1,2024-02-24 12:00:00+00:00,2024-03-02 11:00:00+00:00,arima,168,241.72047906272329,301.75027178242436,0.38972939389400346
BTCUSDT,1,2024-02-24 12:00:00+00:00,2024-03-02 11:00:00+00:00,ast,168,491.9755575544217,551.598014801128,0.7948684617756812
BTCUSDT,2,2022-07-03 14:00:00+00:00,2022-07-10 13:00:00+00:00,naive,168,77.58823529411765,103.02441172734113,0.3608465210970638
BTCUSDT,2,2022-07-03 14:00:00+00:00,2022-07-10 13:00:00+00:00,arima,168,78.95974977918911,104.33221320019628,0.36725628131519855
BTCUSDT,2,2022-07-03 14:00:00+00:00,2022-07-10 13:00:00+00:00,ast,168,518.3585673758048,535.9170651461202,2.4176157668810925
BTCUSDT,3,2023-06-25 12:00:00+00:00,2023-07-02 11:00:00+00:00,naive,167,21.908823529411485,27.19907546006531,0.07180772622374874
BTCUSDT,3,2023-06-25 12:00:00+00:00,2023-07-02 11:00:00+00:00,arima,167,27.363816786612112,33.58459060680128,0.08963551651174587
BTCUSDT,3,2023-06-25 12:00:00+00:00,2023-07-02 11:00:00+00:00,ast,167,126.11254842522777,131.9867182323356,0.41306651455120297
BTCUSDT,4,2026-01-10 19:00:00+00:00,2026-01-17 18:00:00+00:00,naive,168,128.0911764705897,191.1191320801235,0.134607778503437
BTCUSDT,4,2026-01-10 19:00:00+00:00,2026-01-17 18:00:00+00:00,arima,168,127.92913153202714,191.11592111509938,0.13443885387835347
BTCUSDT,4,2026-01-10 19:00:00+00:00,2026-01-17 18:00:00+00:00,ast,168,472.4839411430395,493.7987998863118,0.4957246304230353
BTCUSDT,5,2023-07-29 21:00:00+00:00,2023-08-05 20:00:00+00:00,naive,167,29.479411764705862,40.8112261083959,0.10139245944065264
BTCUSDT,5,2023-07-29 21:00:00+00:00,2023-08-05 20:00:00+00:00,arima,167,29.713349966109437,40.7843713296306,0.10219988829713318
BTCUSDT,5,2023-07-29 21:00:00+00:00,2023-08-05 20:00:00+00:00,ast,167,93.7704935066387,124.20664131934032,0.32174414051699257
BTCUSDT,6,2024-04-25 04:00:00+00:00,2024-05-02 03:00:00+00:00,naive,166,465.7382352941176,683.3081780400926,0.7992160102339558
BTCUSDT,6,2024-04-25 04:00:00+00:00,2024-05-02 03:00:00+00:00,arima,166,477.1433855368506,689.580407608008,0.8185643186219209
BTCUSDT,6,2024-04-25 04:00:00+00:00,2024-05-02 03:00:00+00:00,ast,166,5162.623490434128,5304.298731297475,8.854701542358344
BTCUSDT,7,2024-08-24 15:00:00+00:00,2024-08-31 14:00:00+00:00,naive,168,216.60294117647123,331.24430072788635,0.3675960799009634
BTCUSDT,7,2024-08-24 15:00:00+00:00,2024-08-31 14:00:00+00:00,arima,168,214.21132836035417,328.5690835351594,0.3635866863092449
BTCUSDT,7,2024-08-24 15:00:00+00:00,2024-08-31 14:00:00+00:00,ast,168,201.29746798782435,333.9753038527804,0.34254618637035295
BTCUSDT,8,2022-09-19 08:00:00+00:00,2022-09-26 07:00:00+00:00,naive,166,52.279411764705884,69.49962970701186,0.27650427462376614
BTCUSDT,8,2022-09-19 08:00:00+00:00,2022-09-26 07:00:00+00:00,arima,166,51.62225234079318,69.48257546020784,0.27302379665847715
BTCUSDT,8,2022-09-19 08:00:00+00:00,2022-09-26 07:00:00+00:00,ast,166,241.20708205567104,265.5491348245793,1.2711302177386985
BTCUSDT,9,2025-04-14 05:00:00+00:00,2025-04-21 04:00:00+00:00,naive,168,202.1941176470577,325.7159661242208,0.2364317232910818
BTCUSDT,9,2025-04-14 05:00:00+00:00,2025-04-21 04:00:00+00:00,arima,168,237.6828775748988,394.21919769648895,0.27723498251298373
BTCUSDT,9,2025-04-14 05:00:00+00:00,2025-04-21 04:00:00+00:00,ast,168,836.8872515152766,949.0770009189665,0.9795562406770186
BTCUSDT,10,2023-07-28 07:00:00+00:00,2023-08-04 06:00:00+00:00,naive,167,46.02941176470599,60.27741260694805,0.1575764365117071
BTCUSDT,10,2023-07-28 07:00:00+00:00,2023-08-04 06:00:00+00:00,arima,167,45.38034448034876,59.39067784685509,0.15535600423935986
BTCUSDT,10,2023-07-28 07:00:00+00:00,2023-08-04 06:00:00+00:00,ast,167,53.23095501010903,65.52872454090331,0.1823064674622053
