model,MAE,RMSE,MAPE
naive,155.7164705882356,216.74029714855806,0.2668957610347048
arima,160.7632248922013,226.01665980157063,0.27269050785840604
sarima,207.3670745191368,278.8501118051387,0.3511355475682948
ast,822.2777851604503,917.7940076620492,1.4684820674523043
