week,start_ts,end_ts,raw_points,clean_points
1,2024-11-26 08:00:00+00:00,2024-12-03 07:00:00+00:00,168,168
2,2025-07-21 06:00:00+00:00,2025-07-28 05:00:00+00:00,168,168
3,2024-07-15 04:00:00+00:00,2024-07-22 03:00:00+00:00,168,168
4,2023-03-24 23:00:00+00:00,2023-03-31 22:00:00+00:00,168,168
5,2025-04-14 05:00:00+00:00,2025-04-21 04:00:00+00:00,168,168
6,2024-05-12 17:00:00+00:00,2024-05-19 16:00:00+00:00,168,168
7,2024-09-30 02:00:00+00:00,2024-10-07 01:00:00+00:00,168,168
8,2023-10-31 01:00:00+00:00,2023-11-07 00:00:00+00:00,168,167
9,2023-05-21 10:00:00+00:00,2023-05-28 09:00:00+00:00,168,168
10,2022-06-21 14:00:00+00:00,2022-06-28 13:00:00+00:00,168,168
