model,MAE,RMSE,MAPE
naive,291.24746880570433,384.39698343792503,0.38743780977920295
arima,295.95928297050887,390.0069275138745,0.3940449689349254
ast,1634.8390050586502,1821.6411151057182,2.2465733283113174
