window,winner_model,winner_MAE,winner_total_sec
1,lstm,33.49504039183019,22.626978400017833
2,nbeats,45.969626202595364,16.30746920002275
3,lstm,40.28225894074398,16.245051399979275
4,lstm,45.549852670232255,18.527658900013193
5,nbeats,47.69975347911699,18.38924770001904
6,lstm,50.160053414571,20.204036700015422
7,lstm,42.60281945893046,18.853190400026506
8,catboost,35.08420745284127,2.2768557999806944
9,lstm,22.200638192255813,19.22932720000972
10,catboost,34.22970996699796,2.379521900002146
