retrain_hours,timestamp,action,side,signal_type,price,qty,asset_qty,cash_flow,invested_cash_gross,entry_fee_cash,exit_fee_cash,gross_sale_value,net_sale_value,realized_pnl,position_qty_after,avg_entry_after,free_cash_after,equity_after,reason,grid_realized_pnl_after
168,2026-02-13 22:17:00+00:00,open_long,long,enter_long_C,68813.0,0.0036308546350253585,0.0036308546350253585,-250.0,250.0,0.15,,,,,0.0036308546350253585,68813.0,750.0,999.85009,enter long C: forecast reached +0.001% on minute 7 within 180 minutes,0.0
168,2026-02-14 02:17:00+00:00,close_long,long,enter_long_C,68958.0,0.0036308546350253585,0.0036308546350253585,250.37624803772545,250.0,0.15,0.15022588435324719,250.37647392207867,250.37624803772545,0.22624803772542973,0.0,,1000.3762480377254,1000.3762480377254,max_hold_reached,
