model,MAE,RMSE,MAPE
naive,441.4208195381196,3260.566613679577,1.205637216071588
arima,441.8023920667722,3260.5821909741494,1.2072792631008076
lstm,443.39649329359594,3261.738923016068,1.2098109698491624
nbeats,562.8931215372356,3270.934638213876,1.6475300109258335
