symbol,week,start_ts,end_ts,model,n_points,MAE,RMSE,MAPE,duration_sec
BTCUSDT,1,2022-04-12 03:00:00+00:00,2022-04-19 02:00:00+00:00,naive,167,535.7994011976048,5266.921660414754,1.345672981269853,0.00025450001703575253
BTCUSDT,1,2022-04-12 03:00:00+00:00,2022-04-19 02:00:00+00:00,nbeats,167,542.3011857073551,5265.706316537958,1.3619069200047467,1.8621304999978747
BTCUSDT,1,2022-04-12 03:00:00+00:00,2022-04-19 02:00:00+00:00,catboost,167,534.6402516537768,5266.706782834371,1.3428347806471521,0.19083110001520254
BTCUSDT,1,2022-04-12 03:00:00+00:00,2022-04-19 02:00:00+00:00,lstm,167,540.423107831495,5265.2878090032145,1.357244404587721,0.5623879999911878
BTCUSDT,2,2024-09-15 23:00:00+00:00,2024-09-22 22:00:00+00:00,naive,168,491.66488095238077,3762.0606841055683,0.8216909431975195,0.0002975999959744513
BTCUSDT,2,2024-09-15 23:00:00+00:00,2024-09-22 22:00:00+00:00,nbeats,168,490.38195699478786,3760.522244546068,0.8196310198108168,1.748307100002421
BTCUSDT,2,2024-09-15 23:00:00+00:00,2024-09-22 22:00:00+00:00,catboost,168,487.6372604639448,3761.4400248198995,0.8150852434265313,0.2179234999930486
BTCUSDT,2,2024-09-15 23:00:00+00:00,2024-09-22 22:00:00+00:00,lstm,168,491.4966562816574,3760.421785382093,0.8215530244539362,0.6188242000062019
BTCUSDT,3,2022-06-16 15:00:00+00:00,2022-06-23 14:00:00+00:00,naive,168,696.7797619047619,6689.482940327195,3.3515520312750255,0.0002598999999463558
BTCUSDT,3,2022-06-16 15:00:00+00:00,2022-06-23 14:00:00+00:00,nbeats,168,701.932837939192,6688.280530362245,3.37822711974777,1.3635950000025332
BTCUSDT,3,2022-06-16 15:00:00+00:00,2022-06-23 14:00:00+00:00,catboost,168,698.3980742727408,6689.327752516543,3.3598371589732126,0.3337974000023678
BTCUSDT,3,2022-06-16 15:00:00+00:00,2022-06-23 14:00:00+00:00,lstm,168,694.5482618061981,6687.435532954362,3.342128702636172,0.8113723999995273
BTCUSDT,4,2022-10-21 14:00:00+00:00,2022-10-28 13:00:00+00:00,naive,165,583.7666666666667,6909.5907359176335,3.0649391424904913,0.00026390000130049884
BTCUSDT,4,2022-10-21 14:00:00+00:00,2022-10-28 13:00:00+00:00,nbeats,165,588.3759630787631,6908.205861170881,3.088583342326498,1.1540399999939837
BTCUSDT,4,2022-10-21 14:00:00+00:00,2022-10-28 13:00:00+00:00,catboost,165,583.6844370631095,6909.404457968124,3.0644593347446456,0.32100749999517575
BTCUSDT,4,2022-10-21 14:00:00+00:00,2022-10-28 13:00:00+00:00,lstm,165,585.7535866815099,6907.670430518373,3.0754315997434323,0.9766540999989957
BTCUSDT,5,2026-02-03 09:00:00+00:00,2026-02-10 08:00:00+00:00,naive,168,691.8773809523814,2365.5554372926385,0.9606642759834946,0.00031350000062957406
BTCUSDT,5,2026-02-03 09:00:00+00:00,2026-02-10 08:00:00+00:00,nbeats,168,693.0742363745501,2364.5798553893173,0.9624446660802071,1.5523505999881309
BTCUSDT,5,2026-02-03 09:00:00+00:00,2026-02-10 08:00:00+00:00,catboost,168,696.7159573544657,2367.9593392646752,0.9677351325354231,0.23504490000777878
BTCUSDT,5,2026-02-03 09:00:00+00:00,2026-02-10 08:00:00+00:00,lstm,168,701.1294914207435,2366.7112368874436,0.9742551218938803,0.7294264000083786
BTCUSDT,6,2026-02-10 15:00:00+00:00,2026-02-17 14:00:00+00:00,naive,168,501.8124999999999,2991.8026994904885,0.7317664646402021,0.00022330001229420304
BTCUSDT,6,2026-02-10 15:00:00+00:00,2026-02-17 14:00:00+00:00,nbeats,168,502.1383047029214,2990.6153605063528,0.7323003332159872,1.3406088999763597
BTCUSDT,6,2026-02-10 15:00:00+00:00,2026-02-17 14:00:00+00:00,catboost,168,503.6592714118519,2991.8647946733395,0.7345361360499827,0.3399206000030972
BTCUSDT,6,2026-02-10 15:00:00+00:00,2026-02-17 14:00:00+00:00,lstm,168,503.5680345269185,2991.0340895225536,0.7341327033202336,0.8204588000080548
BTCUSDT,7,2022-09-25 19:00:00+00:00,2022-10-02 18:00:00+00:00,naive,166,613.9578313253012,6894.014510376164,3.238707901868628,0.0003858999989461154
BTCUSDT,7,2022-09-25 19:00:00+00:00,2022-10-02 18:00:00+00:00,nbeats,166,617.8466261104586,6892.684327752368,3.258764906331809,1.2673655000107829
BTCUSDT,7,2022-09-25 19:00:00+00:00,2022-10-02 18:00:00+00:00,catboost,166,614.0160980725798,6893.829475977359,3.2390935797392584,0.3567981999949552
BTCUSDT,7,2022-09-25 19:00:00+00:00,2022-10-02 18:00:00+00:00,lstm,166,614.2090271411274,6892.100075678384,3.240095669179329,0.8955548999947496
BTCUSDT,8,2023-04-24 07:00:00+00:00,2023-05-01 06:00:00+00:00,naive,164,589.0853658536585,6270.84733940688,2.1309291876880323,0.00024009999469853938
BTCUSDT,8,2023-04-24 07:00:00+00:00,2023-05-01 06:00:00+00:00,nbeats,164,592.18359520071,6269.470690607487,2.1417697133101115,1.1432642999861855
BTCUSDT,8,2023-04-24 07:00:00+00:00,2023-05-01 06:00:00+00:00,catboost,164,586.9783718557268,6270.4955849276885,2.1236109860391115,0.3237304999784101
BTCUSDT,8,2023-04-24 07:00:00+00:00,2023-05-01 06:00:00+00:00,lstm,164,587.3023443761704,6268.889102455025,2.1248519004780206,1.0008043999841902
BTCUSDT,9,2023-09-16 06:00:00+00:00,2023-09-23 05:00:00+00:00,naive,167,542.3479041916167,6287.150386641907,2.045232992665533,0.00032750001992098987
BTCUSDT,9,2023-09-16 06:00:00+00:00,2023-09-23 05:00:00+00:00,nbeats,167,547.2195430880918,6285.81420612208,2.0635905042558464,1.693987200007541
