model,MAE,RMSE,MAPE
naive,466.5756085740425,3340.6480071063643,1.2115093483132822
arima,467.058399164999,3340.7064360463796,1.2133893674573208
lstm,472.62040819167913,3343.041764547687,1.2277578624183256
nbeats,484.44322372672025,3341.407436217551,1.2697790408555174
