symbol,week,start_ts,end_ts,model,n_points,MAE,RMSE,MAPE,duration_sec
BTCUSDT,1,2024-03-18 13:00:00+00:00,2024-03-25 12:00:00+00:00,naive,168,602.0089285714288,2985.5056710655035,0.9145176345067954,0.00017619997379370034
BTCUSDT,1,2024-03-18 13:00:00+00:00,2024-03-25 12:00:00+00:00,nbeats,168,604.1665439838736,2987.3611782451976,0.917934239361172,0.9817368999938481
BTCUSDT,1,2024-03-18 13:00:00+00:00,2024-03-25 12:00:00+00:00,lstm,168,580.3944174755921,2981.746486180529,0.8810102374203796,1.106238200009102
BTCUSDT,2,2023-05-23 08:00:00+00:00,2023-05-30 07:00:00+00:00,naive,168,520.2654761904761,6052.009494364739,1.9072435421207057,0.00018950001685880125
BTCUSDT,2,2023-05-23 08:00:00+00:00,2023-05-30 07:00:00+00:00,nbeats,168,530.9171130300128,6053.602904168049,1.947495008369203,0.9499724000052083
BTCUSDT,2,2023-05-23 08:00:00+00:00,2023-05-30 07:00:00+00:00,lstm,168,520.6389941505115,6052.221866981282,1.9085650301180284,1.0983688000123948
BTCUSDT,3,2023-02-22 13:00:00+00:00,2023-03-01 12:00:00+00:00,naive,168,556.1994047619048,6299.498733775985,2.313570221786379,0.0002463999844621867
BTCUSDT,3,2023-02-22 13:00:00+00:00,2023-03-01 12:00:00+00:00,nbeats,168,567.5920467283653,6301.047455842583,2.361645148830977,0.9138611999806017
BTCUSDT,3,2023-02-22 13:00:00+00:00,2023-03-01 12:00:00+00:00,lstm,168,556.950219842729,6299.720222461567,2.31671255304345,1.0560284999955911
BTCUSDT,4,2025-10-20 14:00:00+00:00,2025-10-27 13:00:00+00:00,naive,167,350.4281437125749,697.7593540953394,0.31614737039531476,0.0001883000077214092
BTCUSDT,4,2025-10-20 14:00:00+00:00,2025-10-27 13:00:00+00:00,nbeats,167,350.6860954579744,696.5381770500277,0.31642509580770983,0.9963147999951616
BTCUSDT,4,2025-10-20 14:00:00+00:00,2025-10-27 13:00:00+00:00,lstm,167,361.3057135445476,708.8718434325326,0.3261034995053669,1.1004132000089157
BTCUSDT,5,2023-08-07 05:00:00+00:00,2023-08-14 04:00:00+00:00,naive,168,496.9232142857143,5912.954895341688,1.705150952712798,0.00026309999520890415
BTCUSDT,5,2023-08-07 05:00:00+00:00,2023-08-14 04:00:00+00:00,nbeats,168,511.37263250689995,5914.619826533008,1.7539147533092703,0.9057725999737158
BTCUSDT,5,2023-08-07 05:00:00+00:00,2023-08-14 04:00:00+00:00,lstm,168,498.7263992143359,5913.1633484661725,1.711300675198609,1.0654143999854568
BTCUSDT,6,2025-02-13 20:00:00+00:00,2025-02-20 19:00:00+00:00,naive,168,285.12261904761937,796.9036316985167,0.29578729192942016,0.00019839999731630087
BTCUSDT,6,2025-02-13 20:00:00+00:00,2025-02-20 19:00:00+00:00,nbeats,168,284.8191319783792,798.0862912033906,0.2954940105260798,0.9615359000163153
BTCUSDT,6,2025-02-13 20:00:00+00:00,2025-02-20 19:00:00+00:00,lstm,168,286.17526473329883,798.3689685741331,0.296890858160874,1.091641700011678
BTCUSDT,7,2023-06-16 19:00:00+00:00,2023-06-23 18:00:00+00:00,naive,167,566.9988023952095,6144.749085165374,2.124696105541362,0.00017710000975057483
BTCUSDT,7,2023-06-16 19:00:00+00:00,2023-06-23 18:00:00+00:00,nbeats,167,581.8782529837646,6146.341648049788,2.1807577184092075,0.9843912000069395
BTCUSDT,7,2023-06-16 19:00:00+00:00,2023-06-23 18:00:00+00:00,lstm,167,565.3595266522569,6144.96387557339,2.118821348391236,1.105944199982332
BTCUSDT,8,2023-04-26 23:00:00+00:00,2023-05-03 22:00:00+00:00,naive,166,552.0801204819278,6004.817185649558,1.9396953010009699,0.00017549999756738544
