week,start_ts,end_ts,raw_points,clean_points
1,2025-03-16 12:00:00+00:00,2025-03-23 11:00:00+00:00,168,168
2,2023-09-09 01:00:00+00:00,2023-09-16 00:00:00+00:00,168,166
3,2022-07-06 04:00:00+00:00,2022-07-13 03:00:00+00:00,168,168
4,2024-02-12 18:00:00+00:00,2024-02-19 17:00:00+00:00,168,168
5,2024-10-19 07:00:00+00:00,2024-10-26 06:00:00+00:00,168,168
6,2023-01-17 21:00:00+00:00,2023-01-24 20:00:00+00:00,168,167
7,2023-01-04 10:00:00+00:00,2023-01-11 09:00:00+00:00,168,168
8,2022-09-09 05:00:00+00:00,2022-09-16 04:00:00+00:00,168,167
9,2024-02-03 21:00:00+00:00,2024-02-10 20:00:00+00:00,168,168
10,2023-03-06 06:00:00+00:00,2023-03-13 05:00:00+00:00,168,167
