model,windows,mean_MAE,mean_RMSE,mean_MAPE,mean_fit_sec,mean_predict_sec,mean_total_sec,wins
lstm,10,39.75949970210526,57.0688827372292,0.05835670304273999,19.32251297000039,0.7029600300011225,20.02547300000151,6
catboost,10,39.81322325937275,57.06914441101852,0.058435523496728106,1.3205807200021809,0.9788753399974667,2.2994560599996476,2
nbeats,10,40.16307016601643,57.31687593681066,0.058955525426140507,17.47496976000257,0.38935168000462,17.86432144000719,2
naive,10,39.78347916666663,56.9866134476516,0.05839178490027304,0.0004537199973128736,0.0005596100003458559,0.0010133299976587296,0
