model,MAE,RMSE,MAPE
naive,442.74949764733026,3635.396078299891,1.2639647122333637
arima,443.2394992060051,3635.4175640648155,1.265962982752328
lstm,447.20482967954945,3637.315246326108,1.274734048172528
nbeats,456.02070705422324,3635.71566768464,1.2966585773869677
