model,MAE,RMSE,MAPE
naive,434.58905090861145,3131.777637075413,1.0975699323954977
lstm,440.74681240099164,3134.8205934699286,1.110597443445627
nbeats,452.280634863636,3133.256009867961,1.1490621318608658
