symbol,model,MAE,RMSE,MAPE
BTCUSDT,lstm,300.29807706273056,445.88851869022534,0.4114169208891266
BTCUSDT,naive,300.486956521739,445.24338059073483,0.4116671050847784
BTCUSDT,arima,300.6276638373285,445.2404190902285,0.4118801870289757
BTCUSDT,nbeats,395.29433023819314,531.6417846972988,0.5484303740901578
