symbol,model,MAE,RMSE,MAPE
BTCUSDT,naive,282.43177257525076,401.30880802443517,0.417047381143967
BTCUSDT,arima,283.41442163654585,401.05654874779367,0.4184548406354801
BTCUSDT,ast,569.1762611566015,688.0346249430004,0.8430017486153327
